study_accession	verdict	confidence	body_site_signal	evidence	reasoning	host_species	n_samples	library_source	library_strategy	paper_title	tier
PRJEB50625	GUT_WGS	high	explicit	Paper title: 'Metagenomic analysis of fecal microbiomes...'; ENA study title: 'rabbit gut metagenome'; Host body site: 'intestine'; Sample title: 'rabbit gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'	Multiple explicit declarations of gut/fecal sampling (paper title, study title, sample title, body site field) combined with WGS metagenomic library strategy confirm this is shotgun metagenomics of an animal gut microbiome.	rabbit gut metagenome	30	METAGENOMIC	WGS	Metagenomic analysis of fecal microbiomes reveals genetic potential for diverse hydrogen management strategies in marsupials.	CONFIRMED_GUT
PRJEB82776	GUT_WGS	medium	inferred	library_source: METAGENOMIC; library_strategy: WGS; Host organism: Sus scrofa (pig); Paper title mentions 'gut microbiomes' and 'bilirubin reduction' (a gut microbial function); Biome label: 'pig metagenome'	Shotgun metagenomic study (WGS + METAGENOMIC) of a pig host with strong contextual evidence (paper title explicitly states 'gut microbiomes', bilirubin reduction is a characteristic gut microbial function), but body site is not explicitly stated in metadata fields, so confidence is medium and body_site_signal is marked as inferred.	Sus scrofa	279	METAGENOMIC	WGS	Discovery of BilV reveals a multienzymatic basis for bilirubin reduction across vertebrate gut microbiomes.	CONFIRMED_GUT
PRJNA1056763	GUT_WGS	high	explicit	ENA study title: 'Shotgun metagenomic sequencing of bovine gut microbiome: rectal swab'; Sample title(s): 'Shotgun metagenomic sequencing of bovine gut microbiome: rectal swab'; library_strategy: WGS; library_source: METAGENOMIC; Biome label: 'bovine gut metagenome'; Host organism: Bos taurus	The study explicitly states shotgun metagenomic sequencing (WGS + METAGENOMIC library strategy) of bovine gut microbiome from rectal swab samples, which is a gut-proxy body site in an animal host.	Bos taurus	327	METAGENOMIC	WGS	Discovery of BilV reveals a multienzymatic basis for bilirubin reduction across vertebrate gut microbiomes.	CONFIRMED_GUT
PRJNA1212753	GUT_WGS	medium	inferred	library_source: METAGENOMIC; library_strategy: WGS; host organism: Canis lupus familiaris (domestic dog); paper title mentions 'bilirubin reduction across vertebrate gut microbiomes'	The paper title explicitly references 'gut microbiomes' and bilirubin reduction (a gut-relevant metabolic function), the library indicates shotgun metagenomics of community DNA, and the host is a dog; however, the study metadata itself contains no explicit body_site field, so the gut origin is inferred from the paper title rather than stated in the structured metadata.	Canis lupus familiaris	60	METAGENOMIC	WGS	Discovery of BilV reveals a multienzymatic basis for bilirubin reduction across vertebrate gut microbiomes.	CONFIRMED_GUT
PRJNA1367213	GUT_WGS	high	explicit	ENA study title states 'Metagenomic sequencing of different gastrointestinal segments in sheep'; paper title mentions 'gut microbiomes'; library_source=METAGENOMIC; library_strategy=WGS; host organism is Ovis aries (sheep).	Study explicitly targets gastrointestinal segments in an animal host using shotgun metagenomic sequencing, matching the GUT_WGS criteria.	Ovis aries	109	METAGENOMIC	WGS	Discovery of BilV reveals a multienzymatic basis for bilirubin reduction across vertebrate gut microbiomes.	CONFIRMED_GUT
PRJNA795985	GUT_WGS	high	explicit	Isolation source: 'feces'; ENA study title: 'human gut metagenome'; Biome label: 'human gut metagenome'; library_strategy: 'WGS'; library_source: 'GENOMIC'; Host organism: 'Homo sapiens'	Fecal isolation source combined with explicit gut metagenome labeling, WGS shotgun strategy, and human host clearly indicate shotgun metagenomic sequencing of the human gut microbiome.	Homo sapiens	290	GENOMIC	WGS	Discovery of BilV reveals a multienzymatic basis for bilirubin reduction across vertebrate gut microbiomes.	CONFIRMED_GUT
PRJNA988023	GUT_WGS	high	explicit	Isolation source: 'cecal contents' and 'pooled cecal contents'; ENA study title: 'MIMS Environmental/Metagenome sample from gut metagenome'; Biome label: 'gut metagenome'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'; Host: Meleagris gallopavo (turkey)	Multiple explicit statements confirm shotgun metagenomic sequencing of gut microbiota (cecal contents from turkey), meeting all criteria for GUT_WGS classification.	Meleagris gallopavo	90	METAGENOMIC	WGS	Discovery of BilV reveals a multienzymatic basis for bilirubin reduction across vertebrate gut microbiomes.	CONFIRMED_GUT
PRJNA1475489	GUT_WGS	high	explicit	ENA study title: 'Human Stool'; Biome label: 'human gut metagenome'; Sample title: 'Human Stool'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'	Multiple explicit statements identify this as shotgun metagenomic sequencing (WGS + METAGENOMIC library_source) of human stool/gut microbiome.	Homo sapiens	39	METAGENOMIC	WGS	Brain health and the gut microbiome (bMicrobiome Study): a proof-of-concept, feasibility study integrating shotgun metagenomics, metrology, and multidimensional phenotyping across the cognitive aging spectrum.	CONFIRMED_GUT
PRJNA1320715	GUT_WGS	high	explicit	Isolation source: 'stool'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'; host organism: 'Mus musculus'; paper title mentions 'gut microbiome'	Stool is an explicit gut-proxy sample type, WGS with metagenomic library source confirms shotgun metagenomics of microbial community, and the paper title directly references gut microbiome in a mouse model.	Mus musculus	66	METAGENOMIC	WGS	Aging of the adaptive immune system affects the gut microbiome and systemic levels of vitamin B6.	CONFIRMED_GUT
PRJNA1097789	GUT_WGS	medium	inferred	Paper title: 'A diverse gut virome in natural populations of Drosophila melanogaster'; library_source: METAGENOMIC; library_strategy: WCS (shotgun); Host organism: Drosophila melanogaster	The paper title explicitly states 'gut virome' and the methodology is shotgun metagenomic (WCS/METAGENOMIC), but the body site is not explicitly stated in the structured metadata fields, requiring inference from the title.	Drosophila melanogaster	4	METAGENOMIC	WCS	A diverse gut virome in natural populations of Drosophila melanogaster.	CONFIRMED_GUT
PRJEB106514	GUT_WGS	medium	inferred	Paper title: 'The Gut Microbiome Profile of Lions in Etosha National Park, Namibia'; library_source: METAGENOMIC; library_strategy: WGS; host_organism: Panthera leo (lion)	The paper title explicitly states 'Gut Microbiome Profile' and methodology is shotgun metagenomic (WGS + METAGENOMIC), but body_site field itself is empty so the gut designation is inferred from the paper title rather than from structured metadata fields.	Panthera leo	23	METAGENOMIC	WGS	The Gut Microbiome Profile of Lions in Etosha National Park, Namibia.	CONFIRMED_GUT
PRJNA1399069	GUT_WGS	high	explicit	Paper title explicitly states 'freshwater fish gut microbiomes'; library_source: METAGENOMIC; library_strategy: WGS	Title explicitly identifies the study as examining gut microbiomes of freshwater fish using shotgun metagenomic sequencing (WGS library strategy on metagenomic community DNA).		30	METAGENOMIC	WGS	Dietary niches drive microbial community assembly, network reorganization, and symbiont evolution in freshwater fish gut microbiomes.	CONFIRMED_GUT
PRJNA1241462	NOT_METAGENOMIC	high	explicit	library_source: GENOMIC (not METAGENOMIC); library_strategy: WGS; isolation_source: feces; biome labels list culturable isolates (Escherichia coli, Klebsiella species, Scandinavium sp.) rather than community composition	The library_source is explicitly GENOMIC (single-organism genome sequencing), not METAGENOMIC (community DNA), and the named organisms are individual culturable bacterial isolates sequenced from fecal samples, not shotgun metagenomics of the gut microbiome community.	Phascolarctos cinereus	23	GENOMIC	WGS	Detection of amoxicillin-resistant and multidrug-resistant Escherichia coli in young Australian bats (grey-headed flying fox, Pteropus poliocephalus).	EXCLUDED
PRJNA1355441	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The library_strategy is explicitly AMPLICON, not WGS or METAGENOMIC shotgun sequencing, making this a 16S amplicon study rather than shotgun metagenomics despite the metagenomic biome label and cecal gut source.	Gallus gallus	36	METAGENOMIC	AMPLICON	Recombinant LAB vector-based multicomponent vaccine against Campylobacter jejuni potentially promoting a healthier microbial balance in the poultry gut.	EXCLUDED
PRJEB100772	NOT_METAGENOMIC	high	none	library_strategy: AMPLICON	The library_strategy is explicitly listed as AMPLICON, which indicates 16S/amplicon sequencing rather than shotgun metagenomics (WGS), regardless of the gut-related context suggested by the paper title.	Mus musculus	441	OTHER	AMPLICON	Host genetics shapes the recovery of the gut microbiome after antibiotic treatment: the role of the blood group related B4galnt2 gene.	EXCLUDED
PRJNA1438093	NOT_METAGENOMIC	high	none	library_strategy: AMPLICON	AMPLICON library strategy indicates 16S rRNA gene sequencing, not shotgun metagenomics, regardless of the metagenomic source designation.		92	METAGENOMIC	AMPLICON	Early-life development of the microbiome and resistome in antibiotic-naïve dairy calves.	EXCLUDED
PRJEB88111	GUT_WGS	high	explicit	Isolation source(s): faeces; library_source: METAGENOMIC; library_strategy: WGS; Paper title mentions 'pig diarrhoea' linking to gut pathology	Fecal samples from Sus scrofa (pig) sequenced via shotgun metagenomic WGS unambiguously constitute gut microbiome analysis.	Sus scrofa	108	METAGENOMIC	WGS	Metagenomics provides broad detection of pathogens, antimicrobial resistance, and virulence genes in pig diarrhoea and complement conventional methods.	CONFIRMED_GUT
PRJNA1376267	GUT_WGS	high	explicit	ENA study title: 'Metagenome or environmental sample from gut metagenome'; Biome label: 'gut metagenome'; Isolation source: 'cat gut'; library_source: 'METAGENOMIC'; Paper title explicitly mentions 'Gut Microbiome...of Domestic Cats'	Multiple explicit statements confirm this is shotgun metagenomic sequencing (METAGENOMIC library_source) of cat gut microbiome (isolation source, biome label, and paper title all specify gut), matching the GUT_WGS category.		8	METAGENOMIC	OTHER	The Gut Microbiome and Metabolome of Domestic Cats Were Altered by the Oral Administration of Complex Probiotics.	CONFIRMED_GUT
PRJNA1434035	GUT_WGS	high	explicit	Paper title explicitly states 'rat faecal-derived microbiome'; library_source='METAGENOMIC'; library_strategy='WGS'	The paper title explicitly identifies faecal (gut-proxy) microbiome from rats with shotgun metagenomic sequencing (WGS library strategy on community DNA).		6	METAGENOMIC	WGS	Metagenomic insights into urolithin formation from rambutan rind extract by rat faecal-derived microbiome.	CONFIRMED_GUT
PRJNA1155878	NOT_METAGENOMIC	high	none	library_source: TRANSCRIPTOMIC; library_strategy: RNA-Seq	This is a transcriptomic study (RNA-Seq) of host tissue, not shotgun metagenomic sequencing of microbial community DNA, despite the paper title indicating gut microbiota research.	Mus musculus	12	TRANSCRIPTOMIC	RNA-Seq	Gut microbiota induces dysspermatogenesis via microbial-derived phenylacetylglycine in Ggt1-deficient mice.	EXCLUDED
PRJNA1157396	GUT_WGS	high	explicit	Biome label: 'feces metagenome'; Isolation source: 'Fecal from a mouse numbered FMT-KO1' (and 7 other fecal samples); library_source: 'METAGENOMIC'; Host organism: 'Mus musculus'	Multiple explicit statements confirm fecal/gut sampling (feces metagenome, fecal isolation sources) from mouse, with metagenomic library source indicating shotgun community DNA analysis.	Mus musculus	24	METAGENOMIC	OTHER	Gut microbiota induces dysspermatogenesis via microbial-derived phenylacetylglycine in Ggt1-deficient mice.	CONFIRMED_GUT
PRJNA1274967	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The study used AMPLICON sequencing (16S), not shotgun/WGS metagenomic sequencing, despite the gut metagenome metadata labels and fecal isolation source.	rodent	20	METAGENOMIC	AMPLICON	Diet-Driven Divergence in Gut Microbiota Variation Between Two Sympatric Gerbil Species.	EXCLUDED
PRJNA1263030	GUT_WGS	high	inferred	Paper title explicitly states 'rumen microbiota'; library_source='METAGENOMIC'; library_strategy='WGS'; host organism=Ovis aries (sheep)	The paper title explicitly mentions 'rumen microbiota' (a gut compartment in ruminants), combined with shotgun metagenomic sequencing (WGS/METAGENOMIC) of sheep samples, confirming this is a gut microbiome study, though body_site is not explicitly stated in the metadata fields.	Ovis aries	18	METAGENOMIC	WGS	Curcumin modulates hepatic pyroptosis-autophagy crosstalk induced by aflatoxin B1 via rumen microbiota-blood-liver axis.	CONFIRMED_GUT
PRJNA1283548	NOT_METAGENOMIC	high	explicit	library_source: TRANSCRIPTOMIC	Although the study targets mouse gut (cecal contents) with shotgun sequencing strategy (WGS), the library_source is explicitly stated as TRANSCRIPTOMIC (RNA), not METAGENOMIC (community DNA), making this a metatranscriptomic study rather than shotgun metagenomic.	Mus musculus	8	TRANSCRIPTOMIC	WGS	Intestinal dysbiosis associates with silica-induced pulmonary fibrosis in mice via arginine and tryptophan pathways.	EXCLUDED
PRJNA1154995	GUT_WGS	high	explicit	ENA study title: 'Metagenome or environmental sample from feces metagenome'; Biome label: 'feces metagenome'; Isolation source: 'feces'; library_source: 'METAGENOMIC'; Paper title explicitly states 'gut microbiota'; library_strategy: 'OTHER' (but paper title and sample descriptions confirm shotgun metagenomics)	Fecal samples from wildlife are explicit proxy for gut microbiota, metagenomic library source confirms community DNA sequencing, and the paper title explicitly references 'gut microbiota' in a metagenomic study.	feces metagenome	34	METAGENOMIC	OTHER	Dietary drivers of gut microbiota diversity and function in wildlife of Wolong Nature Reserve: a metagenomic study.	CONFIRMED_GUT
PRJNA1300300	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON; biome label: feces metagenome	Although the biome label explicitly indicates feces (gut-proxy) from rats, the library_strategy is AMPLICON (16S rRNA gene sequencing), not WGS/METAGENOMIC shotgun sequencing, which disqualifies this as a shotgun metagenomic study.	Rattus norvegicus	52	METAGENOMIC	AMPLICON	Limosilactobacillus reuteri normalizes gut microbiota dysfunction and social deficits of rat offspring associated with prenatal exposure to stress.	EXCLUDED
PRJNA1320514	NOT_METAGENOMIC	high	none	library_strategy: AMPLICON	AMPLICON sequencing (16S rRNA) is explicitly stated, which is not shotgun metagenomics regardless of the gut-related paper title.		233	METAGENOMIC	AMPLICON	A naturalized gut microbiome interacts with dietary fibers to protect against colonic inflammation.	EXCLUDED
PRJEB29232	GUT_WGS	medium	inferred	Paper title explicitly states 'Gut microbiome'; library_source='METAGENOMIC'; library_strategy='WGS'; host=Vulpes vulpes (fox)	Paper title explicitly identifies this as a gut microbiome study with shotgun metagenomic methods (WGS), though the structured metadata fields lack explicit body_site annotation.	Vulpes vulpes	131	METAGENOMIC	WGS	Gut microbiome community structure correlates with different behavioral phenotypes in the Belyaev Farm-Fox Experiment.	CONFIRMED_GUT
PRJNA1242727	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The library_strategy is explicitly listed as AMPLICON, which indicates 16S/amplicon sequencing, not shotgun metagenomics (WGS/METAGENOMIC), disqualifying this from GUT_WGS classification despite the gut microbiome context.	Bos taurus	39	METAGENOMIC	AMPLICON	Sulfoquinovose degradation by cow rumen microbiota.	EXCLUDED
PRJEB105080	NOT_METAGENOMIC	high	none	library_source: TRANSCRIPTOMIC; library_strategy: RNA-Seq; sample titles indicate 'scRNA-seq'	This is a single-cell RNA-sequencing study of mouse tissues (not shotgun metagenomic sequencing of microbial communities), as explicitly indicated by transcriptomic library source and RNA-Seq strategy.	Mus musculus	33	TRANSCRIPTOMIC	RNA-Seq	Diverse high-fat diets drive multi-omic reprogramming that persists after dietary reversal.	EXCLUDED
PRJNA1322081	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	Although the study targets gut microbiome of an animal (Aedes albopictus), the library_strategy is AMPLICON (not WGS/METAGENOMIC), which means it is 16S amplicon sequencing, not shotgun metagenomics, and therefore does not qualify as GUT_WGS.	Aedes albopictus	2	METAGENOMIC	AMPLICON	Bacterially expressed recombinant TMOF induces mortality and gut microbial alterations in Aedes albopictus larvae.	EXCLUDED
PRJNA1399070	GUT_WGS	medium	inferred	Paper title: 'Comparative Analysis of Gut Microbiota and Metabolome of Captive Male Malayan Pangolins with Normal and Abnormal Reproduction'; library_source: METAGENOMIC; library_strategy: OTHER	The paper title explicitly states 'Gut Microbiota' and the host organism is Malayan pangolin (Manis javanica), an animal; library_source is METAGENOMIC (shotgun community DNA), but body site is not independently confirmed in metadata fields so confidence is medium and body_site_signal is inferred from the paper title rather than explicit metadata.	Manis javanica	13	METAGENOMIC	OTHER	Comparative Analysis of Gut Microbiota and Metabolome of Captive Male Malayan Pangolins with Normal and Abnormal Reproduction.	CONFIRMED_GUT
PRJNA1257937	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The library_strategy is explicitly AMPLICON, which indicates 16S/rRNA gene sequencing, not shotgun metagenomics (WGS/METAGENOMIC), despite the gut/intestinal/fecal isolation source being explicitly stated.	Environment	27	GENOMIC	AMPLICON	Metagenomic analysis of gut bacteria in different developmental instars of Spodoptera litura.	EXCLUDED
PRJNA1299316	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The library_strategy is explicitly stated as AMPLICON, which indicates 16S amplicon sequencing rather than shotgun metagenomics (WGS/METAGENOMIC), despite the misleading study titles mentioning 'shotgun metagenomics'.	missing	36	METAGENOMIC	AMPLICON	Gut microbiome modulation by cricket, pea, and whey protein using the SHIME in vitro simulator.	EXCLUDED
PRJNA1002222	NOT_METAGENOMIC	high	none	library_source: TRANSCRIPTOMIC; library_strategy: RNA-Seq	The library_source is explicitly TRANSCRIPTOMIC and library_strategy is RNA-Seq, which indicates this is a transcriptomic study (RNA-based), not shotgun metagenomic sequencing of community DNA.	Mus musculus	75	TRANSCRIPTOMIC	RNA-Seq	Estropausal gut microbiota transplant improves measures of ovarian function in adult mice.	EXCLUDED
PRJNA1076509	NOT_METAGENOMIC	high	none	library_strategy: AMPLICON	AMPLICON sequencing (16S/marker gene) is explicitly stated, which is not shotgun metagenomics regardless of the metagenomic source designation.	Mus musculus	91	METAGENOMIC	AMPLICON	Estropausal gut microbiota transplant improves measures of ovarian function in adult mice.	EXCLUDED
PRJNA1054518	GUT_WGS	high	explicit	Isolation source: 'stool'; ENA study title includes 'mouse gut metagenome'; Paper title mentions 'gut bacteriophage'; library_strategy: 'WGS'; library_source: 'METAGENOMIC'	Multiple explicit indicators confirm shotgun metagenomic sequencing of mouse gut microbiome: stool isolation source, explicit 'gut metagenome' designation, WGS strategy, and metagenomic library source.	Mus musculus	993	METAGENOMIC	WGS	Dynamics of gut bacteriophage in diversity outbred mice studied over lifespan and during extreme caloric restriction.	CONFIRMED_GUT
PRJNA890321	GUT_WGS	high	explicit	isolation source: stool; library_strategy: WGS; library_source: METAGENOMIC; paper title mentions 'gut microbiome'	Stool is an explicit gut-proxy body site, WGS with metagenomic library source confirms shotgun community sequencing of animal (swan) microbiota.	Cygnus cygnus	28	METAGENOMIC	WGS	Metagenomic analysis of gut microbiome and resistome of Whooper and Black Swans: a one health perspective.	CONFIRMED_GUT
PRJNA1104663	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	Although the study explicitly targets gut microbiome (isolation source: feces, biome label: gut metagenome, host: Mus musculus), the library_strategy is AMPLICON, which indicates 16S rRNA sequencing rather than shotgun whole-genome metagenomics, thus disqualifying it from GUT_WGS classification.	Mus musculus	98	METAGENOMIC	AMPLICON	Antibiotic-induced gut microbiome remodeling reduces neuroinflammation in traumatic brain injury.	EXCLUDED
PRJNA1216228	UNCERTAIN	low	none	Biome label: 'dust metagenome'; Library source: 'METAGENOMIC'; Library strategy: 'WGS'; Paper title mentions 'gut microbiome' but sample metadata shows 'dust metagenome' with no host organism or body site specified.	While the paper title suggests a gut microbiome study, the actual sample metadata explicitly labels samples as 'dust metagenome' with no host organism or body site information, creating a direct conflict that cannot be resolved from the evidence provided.	dust metagenome	2	METAGENOMIC	WGS	Antibiotic-induced gut microbiome remodeling reduces neuroinflammation in traumatic brain injury.	REVIEW
PRJNA1191222	NOT_METAGENOMIC	high	none	library_strategy: AMPLICON	The study used 16S rRNA AMPLICON sequencing (stated explicitly in library_strategy field), not shotgun/WGS metagenomic methods, making it ineligible for GUT_WGS classification regardless of host organism or suspected gut origin.	Capra ibex	767	METAGENOMIC	AMPLICON	Gut microbiomes of wild and domesticated mammals and birds in Slovenia, Europe: 16S rRNA sequencing data.	EXCLUDED
PRJNA1412623	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The study uses AMPLICON sequencing strategy (16S), not shotgun/WGS metagenomic sequencing, which disqualifies it from the GUT_WGS category regardless of the gut-derived samples.	Aves	53	METAGENOMIC	AMPLICON	Convergent gut microbiome adaptation and pervasive antibiotic resistome in Qinghai-Tibet Plateau passerines.	EXCLUDED
PRJNA610239	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The library_strategy is explicitly AMPLICON, which indicates 16S rRNA gene sequencing rather than shotgun metagenomics (WGS), disqualifying this as a shotgun metagenomic study despite the gut microbiome biome label and metagenomic library source.		20	METAGENOMIC	AMPLICON	FK506-binding protein-5 in high-fat diet-induced metabolic dysfunction-associated steatotic liver disease.	EXCLUDED
PRJNA1175865	GUT_WGS	high	explicit	Isolation source(s): cecum; Biome label(s): gut metagenome; library_source: METAGENOMIC; library_strategy: WGS	Cecum is an explicit gut-proximal site (part of the large intestine), combined with shotgun metagenomic sequencing (WGS + METAGENOMIC library source) of animal hosts.	Alexandromys fortis	128	METAGENOMIC	WGS	Metagenomic analysis of gut microbiota composition and function in wild mice (Rattus flavipectus) infected with Enterocytozoon bieneusi.	CONFIRMED_GUT
PRJNA792023	GUT_WGS	high	explicit	ENA study title: 'Chicken ceca metagenome'; Isolation source: 'caecal content'; library_source: 'METAGENOMIC'; library_strategy: 'WXS' (shotgun); Biome label: 'chicken gut metagenome'	Multiple explicit indicators confirm this is shotgun metagenomic sequencing of chicken cecal (gut) microbiota: caecal isolation source, metagenomics library source, and WXS sequencing strategy.	Gallus gallus	29	METAGENOMIC	WXS	Effectiveness of probiotic supplementation on growth performance, gut microbiota, and Salmonella reduction in broiler chicks challenged with Salmonella Typhimurium.	CONFIRMED_GUT
PRJNA1079352	NOT_METAGENOMIC	high	none	library_strategy: AMPLICON	AMPLICON sequencing (16S/rRNA) is explicitly stated, which is not shotgun metagenomic sequencing regardless of the gut context.	Phlebotomus duboscqi	45	METAGENOMIC	AMPLICON	Phlebotomus duboscqi gut microbiota dynamics in the context of Leishmania infection.	EXCLUDED
PRJNA1127327	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The study uses AMPLICON sequencing (16S), not shotgun/WGS metagenomic sequencing, despite the fecal/gut context and metagenomic library_source designation.	Mus musculus	84	METAGENOMIC	AMPLICON	Phloretin-induced modulation in gut microbiome, mitigates colonic inflammation and alleviates colitis-associated colorectal cancer in mice.	EXCLUDED
PRJEB89408	GUT_WGS	high	explicit	Host body site: Faeces; library_source: METAGENOMIC; library_strategy: WGS; Paper title explicitly states 'faecal microbiomes'	Study uses shotgun metagenomic sequencing (WGS + METAGENOMIC source) of faecal samples from multiple marsupial species, which is explicitly stated as fecal/gut microbiome sampling.	Trichosurus vulpecula	117	METAGENOMIC	WGS	A molecular inventory of the faecal microbiomes of 23 marsupial species.	CONFIRMED_GUT
PRJNA1036837	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON; library_source: METAGENOMIC; ENA study title states '16S rRNA sequence data'	This is 16S rRNA amplicon sequencing (AMPLICON strategy), not shotgun/WGS metagenomic sequencing, despite the metagenomic label and gut isolation source.	Arma custos	79	METAGENOMIC	AMPLICON	Gut microbiome convergence and functional adaptation underlie the evolution of predation in stink bugs (Heteroptera: Pentatomidae).	EXCLUDED
PRJNA1353854	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	AMPLICON sequencing (16S/ITS) is explicitly stated as the method, which is not shotgun metagenomics even though the study includes multiple body sites including gut.	Odorrana schmackeri	46	METAGENOMIC	AMPLICON	Comparative Analysis of Environmental and Host-Associated Microbiome in Odorrana schmackeri (Auran: Ranidae): Insights into Tissue-Specific Colonization and Microbial Adaptation.	EXCLUDED
PRJNA1167890	GUT_WGS	high	explicit	Paper title explicitly states 'fecal microbiomes'; ENA study title and biome labels explicitly state 'gut metagenome' and 'feces metagenome'; library_source='METAGENOMIC'; library_strategy='WGA' (whole genome amplification, shotgun approach); host organisms are all marsupials (animals).	Multiple explicit statements of fecal/gut origin combined with metagenomic shotgun sequencing of animal hosts definitively classify this as a gut WGS metagenomic study.	Lasiorhinus latifrons	36	METAGENOMIC	WGA	Metagenomic analysis of fecal microbiomes reveals genetic potential for diverse hydrogen management strategies in marsupials.	CONFIRMED_GUT
PRJNA340521	GUT_WGS	high	explicit	Paper title: 'Metagenomic analysis of fecal microbiomes...'; Biome label: 'gut metagenome'; Isolation source: 'Capybara group feces'; library_source: 'METAGENOMIC'; library_strategy: 'WGS'	Multiple explicit statements confirm shotgun metagenomic sequencing of fecal/gut microbiome from a mammalian host (capybara).		1	METAGENOMIC	WGS	Metagenomic analysis of fecal microbiomes reveals genetic potential for diverse hydrogen management strategies in marsupials.	CONFIRMED_GUT
PRJNA752224	GUT_WGS	high	explicit	Paper title: 'Metagenomic analysis of fecal microbiomes reveals genetic potential for diverse hydrogen management strategies in marsupials.' ENA study title: 'Metagenome or environmental sample from gut metagenome'. Biome label: 'gut metagenome'. Library_source: 'METAGENOMIC'. Library_strategy: 'WGS'.	The paper explicitly states fecal microbiome analysis, ENA metadata explicitly designates gut metagenome, and both metagenomic library source and WGS strategy are explicitly confirmed.		20	METAGENOMIC	WGS	Metagenomic analysis of fecal microbiomes reveals genetic potential for diverse hydrogen management strategies in marsupials.	CONFIRMED_GUT
PRJEB53209	UNCERTAIN	low	conflicting	Paper title states 'gut microbiome of Tibetan antelopes' (animal gut); biome label states 'human gut metagenome' (human, not animal); host organism field is empty; library_source=METAGENOMIC and library_strategy=WGS confirm shotgun metagenomic method	The paper title explicitly describes a Tibetan antelope (animal) gut microbiome study, but the biome label contradictorily specifies 'human gut metagenome'; without clarification of which organism was actually sampled, the verdict cannot be confidently assigned.		17	METAGENOMIC	WGS	Comprehensive profiling of antibiotic resistance, virulence genes, and mobile genetic elements in the gut microbiome of Tibetan antelopes.	REVIEW
PRJNA543906	GUT_WGS	high	explicit	ENA study title: 'fecal'; Biome label: 'gut metagenome'; Sample title(s): 'fecal'; library_source: 'METAGENOMIC'; Paper title mentions 'gut microbiome'	Multiple explicit indicators (fecal samples, gut metagenome label, metagenomic library source) confirm this is shotgun metagenomic sequencing of an animal gut microbiome, despite the host organism field anomaly (Homo sapiens vs. Tibetan antelope in title).	Homo sapiens	27	METAGENOMIC	OTHER	Comprehensive profiling of antibiotic resistance, virulence genes, and mobile genetic elements in the gut microbiome of Tibetan antelopes.	CONFIRMED_GUT
PRJNA1183575	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON (explicitly stated as 16S amplicon, not WGS or METAGENOMIC shotgun)	Although samples mention 'Stool DNA Kit' and biome labels include 'feces metagenome' and 'gut metagenome', the library_strategy is AMPLICON (16S rRNA gene sequencing), which is by definition not shotgun metagenomic sequencing and therefore disqualifies this from GUT_WGS classification.	Magallana gigas	168	METAGENOMIC	AMPLICON	Benchmarking Cost-Effective DNA Extraction Kits for Diverse Metagenomic Samples.	EXCLUDED
PRJNA1219777	NOT_METAGENOMIC	high	none	library_strategy: AMPLICON	The study used AMPLICON sequencing (16S/marker gene), not shotgun metagenomics (WGS), so it does not meet the definition of shotgun metagenomic study regardless of the gut origin of samples.	Honeybee	51	METAGENOMIC	AMPLICON	Characterization of Gut Microbiota of Honey Bees in Korea.	EXCLUDED
PRJNA1298916	GUT_WGS	high	explicit	Isolation source(s): 'Gnotobiotic Mouse Feces'; Host organism: Mus musculus; library_source: METAGENOMIC; library_strategy: WGS	The study explicitly states fecal samples from mice analyzed via shotgun metagenomics, which is a clear match for gut microbiome WGS classification.	Mus musculus	27	METAGENOMIC	WGS	A synthetic gut microbiota provides an understanding of the maintenance and functional impact of phage.	CONFIRMED_GUT
PRJNA1328360	NOT_METAGENOMIC	high	explicit	library_strategy: AMPLICON	The library_strategy is explicitly AMPLICON, which indicates 16S amplicon sequencing, not shotgun metagenomic sequencing (WGS/METAGENOMIC), despite the gut body site being explicitly stated.	Penaeus vannamei	10	METAGENOMIC	AMPLICON	Exploring the gut microbiota of Pacific white shrimp (Litopenaeus vannamei) suffering pale shrimp disease.	EXCLUDED
