study_accession	discrepancy_flags	discrepancy_host	discrepancy_host_missing	discrepancy_gut	discrepancy_multihost	discrepancy_notes
PRJNA671703	gut_sample_issue			Sample titles and biome labels explicitly include 'soil metagenome' and 'manure metagenome'. The abstract describes sampling 'fresh manure, manure from pits, and field soil'. Field soil is not a gut sample.		Gut sample issue flagged: deposit explicitly contains soil metagenome samples, which are non-gut environmental samples, not gut microbiome samples.
PRJNA1184324						No reporting errors detected. The paper describes an animal model study in mice with fecal metagenomic samples, which correctly matches the deposit metadata.
PRJNA541820						No reporting errors detected. The study correctly describes shotgun metagenomic sequencing of gut microbiota from Ap1m2-/- mice on C57BL/6 background, and the deposit metadata accurately reflects this single-host, gut-sample study design.
PRJNA479518	gut_sample_issue; multihost_issue			Isolation sources list 'vulture face' and 'vulture gut'. Facial skin is a non-gut surface sample.	Paper describes two distinct vulture species: Coragyps atratus (black vulture) and Cathartes aura (turkey vulture). Deposit host field shows only generic 'vulture' but isolation sources ('vulture face', 'vulture gut') do not explicitly disambiguate which species each sample came from at the sample level.	Study includes non-gut body sites (facial skin) alongside gut samples, and the deposit lacks sample-level species disambiguation between the two vulture species mentioned in the paper.
PRJNA1067415						No genuine reporting errors detected. Deposit host field captures C. vestalis; D. collaris underrepresented in metadata but not a direct contradiction of deposit values.
PRJNA1086397						No reporting errors detected. Paper and deposit are consistent: mouse (Mus musculus) gut microbiota study using fecal samples characterized by shotgun sequencing.
PRJNA932553	host_mismatch; gut_sample_issue	paper: Ailuropoda melanoleuca (giant panda), Ursus thibetanus (Asiatic black bear), Homo sapiens (human), and gorillas vs deposit: Homo sapiens		Sample titles reference 'human oral metagenome' and biome labels show 'human oral metagenome'. The paper states 118 samples total: 28 supragingival (oral) samples and 90 fecal samples. The deposit metadata explicitly identifies samples as oral, not gut/fecal.		The deposit (Homo sapiens oral samples only) does not represent the full multi-host scope described in the paper (giant pandas, bears, humans, gorillas), and sample-level metadata indicates oral rather than fecal samples, creating both host and sample-type discrepancies.
PRJDB20286						No reporting errors detected. Host, sample type, and all metadata are consistent between paper and deposit.
PRJNA953147						No genuine reporting errors detected. The deposit has a metadata annotation error (bacteria listed as host instead of animal host), but the underlying sample provenance (mouse gut microbiota) is correct and consistent with the paper describing an aged-mice FMT study with cecal metagenomics.
PRJEB81709						No reporting errors detected; host identity matches perfectly, and all metadata are consistent with a single-host wild bird gut microbiome study.
PRJNA753312						No reporting errors detected; this is a correctly documented animal-model study with dual-host design (bovine donors and murine recipients) where deposit metadata appropriately reflects the experimental structure.
PRJEB88012	host_missing		paper names: chicken (commercial chickens); deposit blank/generic			Host is missing from the deposit ENA metadata despite the paper explicitly sampling from commercial chickens.
PRJNA1234694	host_mismatch	paper: Diaprepes abbreviatus vs deposit: Diaprepres abbreviatus				Spelling error in deposit host field ('Diaprepres' instead of 'Diaprepes') is the only issue, representing a metadata transcription error rather than a genuine biological mismatch.
PRJEB52043						This is a mouse model study with appropriately blank host metadata complemented by explicit 'mouse gut metagenome' biome labels; no reporting errors detected.
PRJNA1006316						No reporting errors detected; paper and deposit are fully concordant for host identity and sample type.
PRJNA1161616						No reporting errors detected. This is a freshwater mesocosm study benchmarking metagenomics for fecal source tracking; no live host sampling occurred, and deposit metadata correctly reflects this as a non-host environmental study.
PRJNA924548						No reporting errors detected; paper describes fecal samples from calves, deposit correctly identifies host as Bovine with gut samples.
PRJNA944265						No reporting errors detected. Mouse host in deposit correctly matches the paper's mouse-model study design; all samples are gut-derived (fecal).
PRJNA1297587	gut_sample_issue; multihost_issue			Deposit isolation sources include 'leaves' (non-gut samples); sample titles and biome labels confirm leaf metagenome samples alongside gut samples.	Host species list shows TWO distinct organisms: 'Citrus x aurantiifolia' and 'Diaprepes abbreviatus'. Sample-level data (isolation sources, biome labels) explicitly segregate these: 'gut' samples from D. abbreviatus; 'leaf metagenome' and 'leaves' isolation source indicating Citrus sampling.	The deposit contains non-gut samples (leaves from Citrus) and explicitly lists two host species, both acknowledged in the paper as a comparative control design, making these methodologically justified rather than reporting errors.
PRJNA297579						No reporting errors detected; paper and deposit are fully concordant on California condor as the single host species with appropriate gut samples.
PRJNA509211	multihost_issue				Deposit sample-level data (sample titles and host_species_list) explicitly names FIVE DISTINCT termite species: Cryptotermes domesticus, Cryptotermes secundus, Prorhinotermes simplex, Reticulitermes flavipes, Reticulitermes grassei. Paper title and abstract refer to 'a set of lower termite species' and 'five termite species', treating them as a comparative study, not as a single-host study.	No genuine reporting errors detected. The study properly compares microbiomes across five lower termite species; deposit and paper are consistent.
PRJNA271123						No reporting errors detected. This is a meta-analysis paper evaluating endospore-forming Firmicutes across 73 published datasets; the deposit represents one environmental sample (hot spring) appropriately labeled in the deposit metadata.
PRJNA750644	multihost_issue				Deposit host_species_list shows 2 distinct species: Pardosa agraria and Pardosa laura. Paper compares gut microbiota of both species.	Multihost issue: deposit sample-level data explicitly identify two distinct Pardosa species (agraria and laura) while the deposit host field lists only P. agraria.
PRJNA641765	gut_sample_issue			Sample titles and biome labels explicitly state 'human skin metagenome'. Deposit metadata indicates skin samples, not gut samples. Paper title and abstract confirm 'skin microbiome' as the study target.		No genuine reporting errors detected. Paper and deposit are in full agreement: human skin microbiome study with Homo sapiens as host, correctly labeled as skin (not gut) samples.
PRJEB48382						No data-quality issues detected; paper and deposit metadata are consistent and appropriately describe a pig faecal microbiome study.
PRJNA966790						No reporting errors detected. Paper describes a mouse model of autism with gut metagenomics, and deposit correctly identifies Mus musculus as the host with fecal samples.
PRJEB59225						No reporting errors detected. Paper and deposit metadata are fully aligned on host species (Gadus morhua) and sample type (gut mucus layer/intestinal tract).
PRJNA730805						No data-quality issues detected; mouse host appropriately matches the animal model obesity study design.
PRJNA738608						No reporting errors detected. Paper and deposit are consistent: all samples are from domestic dogs (Canis lupus familiaris / Canis familiaris), with fecal/gut material as isolation source.
PRJNA758898						No reporting errors detected. Paper and deposit metadata are consistent: domestic cat (Felis catus) gut microbiome study with fecal samples.
PRJNA1098026						No reporting errors detected. Paper and deposit are consistent: mouse (C57Bl6, Mus musculus) gut microbiome study with appropriate sample metadata.
PRJNA751718						No reporting errors detected; paper and deposit metadata are fully aligned on host identity, sample type, and study design.
PRJNA1067380	multihost_issue				Paper title and abstract describe characterization of gut microbiota of TWO distinct parasitoid wasp species: Cotesia vestalis and Diadromus collaris. Deposit host field lists only 'Cotesia vestalis' (1 distinct species).	The deposit metadata is incomplete: it lists only Cotesia vestalis while the paper studies two parasitoid wasp species (C. vestalis and D. collaris), representing a multihost issue not fully captured in the deposit.
PRJNA843079						No reporting errors detected; mouse host in deposit appropriately matches IBD animal model described in paper.
PRJNA389470						No reporting errors detected. Paper describes a mouse model study of fecal microbiota transplantation; deposit correctly identifies Mus musculus host with appropriate gut-derived samples.
PRJNA1119051						Study is internally consistent: dromedary camel (Camelus dromedarius) gut microbiome from stool samples with no reporting errors detected.
PRJEB57214	host_missing		paper names: mice; deposit blank/generic			Host metadata gap: paper describes mice but deposit host field is empty, constituting host_missing rather than mismatch.
PRJNA1052069						No reporting errors detected. Paper describes a mouse model study of gut microbiota effects on allograft rejection, and deposit correctly identifies Mus musculus gut samples with appropriate metagenomic sequencing.
PRJEB40767						No errors detected. Paper and deposit metadata are consistent: study involved Wistar rats (Rattus norvegicus) gut microbiome samples.
PRJEB21599						Study reports gut microbiome of Arion ater; deposit metadata is consistent with paper across host identity and sample type.
PRJNA1026073						No reporting errors detected; paper and deposit are fully aligned on host (Plutella xylostella), isolation source (gut), and study scope.
PRJNA865544						No reporting errors detected. The mouse host is appropriate for this animal-model study of human cardiac disease, and all samples are correctly labeled as gut microbiota.
PRJNA255439	gut_sample_issue			Paper title and abstract explicitly state 'oropharyngeal microbiome' and 'oropharynx'. Deposit body-sites field is empty (no metadata confirming oral/oropharyngeal site). Sample titles (ES_001, ES_007, etc.) provide no indication of body site.		Valid reporting issue: paper describes oropharyngeal microbiome samples but deposit body-sites field is empty, creating a metadata gap for a non-gut oral site study.
PRJNA645015						No reporting errors detected. Paper and deposit are fully concordant on host identity (Apis mellifera) and sample type (gut metagenome).
PRJDB20287						No reporting errors detected. Paper and deposit metadata are fully consistent for host identity, sample type, and completeness.
PRJNA1040965						No reporting errors detected. Mouse host in deposit correctly matches the DSS mouse model study design in the paper.
PRJNA712972						No reporting errors detected. Paper describes a mouse gut microbiota study with intestinal epithelial Piga knockout; deposit metadata (C57BL/6J host, fecal samples, gut biome) are consistent and complete.
PRJDB20379						PARSE_ERROR
PRJNA1061805						No quality issues detected; host identity, sample type, and biological source are all consistent between paper and deposit.
PRJEB37383						No reporting errors detected. Paper and deposit are in full agreement: a mouse gut microbiome study with appropriate host specification and gut-sample classification.
PRJEB52269						No reporting errors detected. Paper and deposit are consistent: mouse (Mus musculus) gut microbiota study with appropriate animal-model design for investigating diet and sex-hormone effects.
PRJNA881985						No reporting errors detected. Mouse host is appropriate for this animal model study of Alzheimer's disease; all samples are confirmed as gut microbiome.
PRJNA995784						No reporting errors detected. Paper describes a house-mouse gut microbiota study with shotgun metagenomics; deposit metadata confirms Mus musculus musculus host and stool-derived gut samples.
PRJNA913821						No reporting errors detected. Paper and deposit are consistent: reindeer (Rangifer tarandus platyrhynchus) gut samples from rumen, small intestine, and large intestine.
PRJNA915351						No reporting errors detected. Paper and deposit are concordant for host (Mus musculus), body site (feces/gut), and study design (two mouse strains as experimental replicates in an animal model of T. cruzi infection).
PRJNA977416						No reporting errors detected. Paper and deposit are in perfect alignment on host identity (Apis mellifera), sample type (gut microbiota), and study design.
PRJNA1243555	host_missing		paper names: Broiler chickens (Gallus gallus domesticus); deposit blank/generic			Host_missing issue: the deposit host field incorrectly lists the bacterial pathogen (E. coli) instead of the animal host (chickens), despite the isolation source correctly identifying chicken feces.
PRJNA655594						No reporting errors detected. Paper describes a mouse gut-microbiome study consistent with deposit metadata (C57BL/6J mouse, fecal samples, WGS metagenomic sequencing).
PRJNA1157353	multihost_issue				Paper abstract states: 'Using shotgun metagenomics on 200 worker bees from five honeybee species' and discusses microbiota evolution 'across' multiple honeybee species as the core subject. Deposit sample-level metadata explicitly lists five distinct Apis species (A. andreniformis, A. cerana, A. dorsata, A. florea, A. mellifera) across the samples.	Multi-host issue detected: study encompasses five distinct honeybee species (explicit in deposit sample-level data), which is appropriately framed in the paper but represents a genuinely multi-host comparative design.
PRJNA1145617						No data-quality issues detected; host, sample type, and metadata are in full agreement between paper and deposit.
PRJNA1211045						PARSE_ERROR
PRJNA1210771						No reporting errors detected. Paper and deposit metadata are fully consistent: Antarctic krill (Euphausia superba) gut microbiota study with appropriate gut-origin samples and single-host design.
PRJNA1084222						No reporting errors detected; paper and deposit metadata are fully consistent for host identity, sample type, and study design.
PRJNA1148150						No reporting errors detected. The deposit correctly documents a mouse (Mus musculus) gut-microbiome study as an animal model investigating dietary effects on antimicrobial resistance.
PRJEB89425	host_missing		paper names: Indri indri (lemur); deposit blank/generic			Host identity (Indri indri) is missing from the ENA deposit metadata, representing a metadata gap rather than a conflict.
PRJNA399458						No reporting errors detected. Paper and deposit both identify Indri indri as the host organism for a gut microbiome study.
PRJNA1229795						No reporting errors detected. Mouse host in deposit appropriately matches the animal-model study of colitis-associated colorectal cancer described in the paper; all samples are gut-derived (feces).
PRJNA1244851	host_missing		paper names: Humans and animal models of cystic fibrosis; deposit blank/generic			Host metadata is missing from the deposit; the paper describes sampling from humans and CF animal models but the deposit host field is blank.
PRJNA1209849	host_missing		paper names: SAMP8 mice; deposit blank/generic			Host species metadata is missing from deposit (SAMP8 mice not recorded), but this is a gap rather than a mismatch, as the mouse host is appropriate for an animal model study.
PRJNA949809						No reporting errors detected. Paper and deposit are consistent: Coilia nasus intestinal microbiota study with matching host identity.
PRJNA1225421						No reporting errors detected. Paper and deposit metadata are aligned: human gut resistome study from Ecuador with Homo sapiens as the host and human feces as the sample type.
PRJNA1233886						No reporting errors detected; paper and deposit metadata are concordant on host identity and sample type (intestinal samples from Holothuria glaberrima).
PRJNA1182340						No reporting errors detected; mouse host and gut microbiome study design are consistent with an animal model of asthma.
PRJNA1186832						No reporting errors detected. Study correctly describes a mouse gut-microbiota/probiotic colonization study with matching mouse host in deposit and gut-origin samples throughout.
PRJNA1238482	multihost_issue				Paper title and abstract explicitly study TWO distinct snake species: 'Red Back Pine Root Snake (Oligodon formosanus)' AND 'Chinese Slug-Eating Snake (Pareas chinensis)'. Deposit host field lists only generic 'snake' without distinguishing or listing the two species.	The study involves two distinct snake species (Oligodon formosanus and Pareas chinensis) but the deposit host metadata only records generic 'snake' without capturing the multi-host design.
PRJNA1202651						No reporting errors detected. This is an appropriate animal model (mouse) study of gut microbiota in experimental colitis; Mus musculus in the deposit correctly matches the implied host from the DSS-insult experimental design.
PRJEB60852	host_mismatch; multihost_issue	paper: Yunnan snub-nosed monkey and reindeer vs deposit: Rangifer tarandus platyrhynchus			Paper explicitly states two phylogenetically distant mammals were studied: 'Yunnan snub-nosed monkey and reindeer'. Deposit host field names only Rangifer tarandus platyrhynchus (reindeer). The deposit's own sample titles and biome labels do not explicitly enumerate both species, indicating incomplete metadata capture of the multi-host design described in the paper.	Host mismatch and multihost issue: paper describes a comparative study of two phylogenetically distant mammals (snub-nosed monkey and reindeer), but deposit metadata reflects only reindeer (Rangifer tarandus platyrhynchus).
PRJNA1134918	host_mismatch	paper: mice (implied animal model of human intestinal radioprotection) vs deposit: Bifidobacterium animalis and Bifidobacterium pseudolongum (bacterial species)				Host metadata error: deposit lists bacterial species (Bifidobacterium) as host instead of the mammalian host animal from which stool samples were collected.
PRJNA594263						No genuine reporting errors detected. This is a properly documented animal-model study of colitis using rat gut metagenomes.
PRJNA681546	host_missing		paper names: Human (ulcerative colitis patients, implied by 'gut microbiota studies' in medical context); deposit blank/generic			Host missing: paper describes a human ulcerative colitis study but deposit host field is blank.
PRJNA723444						No data-quality errors detected; mouse gut microbiota study of colitis is appropriately captured with consistent host and gut-sample metadata.
PRJNA1026909						No reporting errors detected. This is a correctly documented animal-model study using mouse gut microbiome to investigate dietary protein effects on microbiota composition and function.
PRJNA1146968	multihost_issue				Deposit host_species_list explicitly names THREE DISTINCT species: Capricornis sumatraensis, Cervus albirostris, Moschus berezovskii. The paper title states 'three sympatric forest-dwelling ungulates' and abstract mentions comparative study among sympatric species, confirming the three-species design.	The deposit correctly captures a multi-host comparative gut microbiome study of three sympatric ungulate species as described in the paper; multihost_issue flag reflects the multi-species design (not an error), and no genuine reporting discrepancies are detected.
PRJNA1214001						No genuine reporting errors detected; rat host in both sources matches appropriately for this animal model study of gastrointestinal dysfunction.
PRJNA1140353						No reporting errors detected. Paper and deposit are in full agreement: all samples are from Apis mellifera (honeybees) gut/bacteriome from Philippines, with consistent metadata across all sources.
PRJNA1187318						No reporting errors detected. Paper describes a mouse probiotic intervention study; deposit correctly identifies Mus musculus as host with cecal content samples from mouse gut.
PRJEB79769						No reporting errors detected. Paper and deposit are fully aligned on host species (Felis catus cats), study design (gut microbiota analysis), and metadata completeness.
PRJNA816829						No reporting errors detected. Paper describes rat model of osteoporosis; deposit correctly identifies Rattus norvegicus gut samples (feces). All metadata consistent.
PRJNA1044797	multihost_issue				Deposit host_species_list contains 4 distinct Bombus species (B. impatiens, B. rufocinctus, B. ternarius, B. vagans), but deposit host field only names 'Bombus impatiens'. Paper abstract and title acknowledge multiple bumble bee species sampled.	Multihost issue detected: deposit sample-level data explicitly names 4 distinct Bombus species, but the summary host field lists only B. impatiens, creating a metadata completeness gap.
PRJNA1033630						No reporting errors detected; paper and deposit metadata are fully aligned on host identity (Apis mellifera honey bees) and sample type (gut microbiome).
PRJNA1124990						No quality issues detected. Paper and deposit metadata are fully consistent for host identity, sample type, and sample integrity.
PRJNA999720						No data-quality issues detected. Host identity, sample type, and deposit metadata are all consistent and accurate.
PRJNA1130047						No reporting errors detected. Paper describes a mouse model study of F. prausnitzii in C57BL/6 mice; deposit correctly identifies host as Mus musculus.
PRJEB43192	multihost_issue				Deposit sample-level biome labels and host_species_list explicitly name two distinct hosts: Gallus gallus and Salmo salar. Biome labels include 'Gallus gallus', 'Salmo salar', 'chicken gut metagenome', 'fish gut metagenome'. Sample titles and metadata confirm both species.	Multihost issue is flagged but represents correct metadata—the HoloFood project genuinely studied both salmon and chicken, and both hosts are properly documented in deposit and paper.
PRJNA1108898						No reporting errors detected. The deposit host name (Trimeresurus stejnegeri) is a taxonomic synonym of the paper's species (Viridovipera stejnegeri), and the gut-microbiome focus is consistent with both sources.
PRJNA1108923						No reporting errors detected; the deposit host (Trimeresurus stejnegeri) correctly corresponds to the paper's subject (Viridovipera stejnegeri), which is a taxonomic nomenclature variant of the same bamboo pitviper species.
PRJNA1180206						No reporting errors detected. Paper and deposit are consistent: this is a legitimate aging-mice gut-microbiome study with appropriate mouse host and gut samples.
PRJNA1102166						No reporting errors detected; paper and deposit are consistent with Coilia nasus as the single host species in a gut microbiota study.
PRJNA1165944						All metadata consistent: paper describes cattle (Bos taurus) rumen microbiota study; deposit correctly identifies Bos taurus as host with rumen fluid as isolation source.
PRJNA560329	multihost_issue				Deposit host_species_list shows 8 distinct termite species: Cornitermes sp., Embiratermes neotenicus, Isognathotermes ugandensis, Labiotermes labralis, Microcerotermes parvus, Nasutitermes corniger, Neocapritermes taracua, Termes hospes. Paper abstract frames study as exploring 'the microbial landscape within termite guts varies across termite families' and compares lower termites vs higher termites as a conceptual framework, but does not explicitly declare that the dataset merges samples from 8 independent host species.	Deposit reveals 8 distinct termite host species in sample-level metadata, but paper abstract does not transparently disclose this multi-host composition, creating a reporting clarity issue.
PRJNA732531	multihost_issue				Deposit host species list explicitly names 45 DISTINCT termite species (Alyscotermes sp., Astalotermes quietus, Calcaritermes temnocephalus, Coatitermes kartaboensis, Constrictotermes cavifrons, Coptotermes formosanus, Cornitermes pugnax, Crepititermes verruculosus, Cryptotermes cavifrons, Cryptotermes dudleyi, Cylindrotermes parvignathus, Dicuspiditermes spinitibialis, Euhamitermes sp., Furculitermes sp., Globitermes sulphureus, Glyptotermes sp., Hodotermes mossambic... and 28 others). Paper abstract presents the study as a unified investigation across termite families but does not explicitly enumerate individual species.	Multihost issue detected: deposit explicitly lists 45 distinct termite species across samples, while paper presents findings using termite family categories (lower vs. higher termites) without clearly communicating the multi-species scope.
PRJEB73709						No reporting errors detected. Paper and deposit are consistent for a mouse model gut microbiome study; the blank host field is supplemented by the explicit 'mouse gut metagenome' biome label.
PRJNA1151203	multihost_issue				Deposit host_species_list and sample-level metadata explicitly distinguish two species: Macaca mulatta vestita and Semnopithecus schistaceus. Paper title and abstract present both species equally as subject of the study.	The deposit correctly documents two distinct host species (Semnopithecus schistaceus and Macaca mulatta vestita) at the sample level, matching the paper's comparative microbiome study design; all samples are from gut (feces), and no genuine errors detected.
PRJNA1123873	host_mismatch	paper: Spodoptera frugiperda (Fall Armyworm insect larvae) vs deposit: Enterococcus casseliflavus (bacterium)				Host mismatch detected: paper studies Fall Armyworm (Spodoptera frugiperda) gut microbiota, but deposit host field incorrectly lists a bacterial species (Enterococcus casseliflavus) instead of the insect host.
PRJNA1031700						No reporting errors detected. Paper and deposit are aligned: both describe a mouse model gut microbiota study with appropriate Mus musculus host and gut-origin samples (colon, feces).
PRJNA1135459	host_mismatch	paper: SD rats vs deposit: Mus musculus				Host species mismatch: paper reports SD rats; deposit records Mus musculus (mouse)—these are distinct rodent species, not synonymous.
PRJNA952227						No data-quality issues detected. Paper and deposit are consistent: C57BL/6J mice (Mus musculus) gut microbiota study with appropriate mouse host designation.
PRJNA1108955	multihost_issue				Host species list shows 2 distinct species: 'Lycodon rosozonatus' and 'Lycodon rufozonatus'. The deposit sample-level data explicitly names both species as hosts across the project.	Multi-host issue detected: deposit sample metadata explicitly includes two distinct Lycodon species, while the paper's presentation of host sampling is not sufficiently detailed to confirm alignment with this multi-species composition.
PRJNA1144187	host_missing		paper names: wild snakes (23 species); deposit blank/generic			Host missing: the paper studies wild snakes but the deposit lacks a populated host field, representing a metadata gap.
PRJNA1302101	host_mismatch	paper: Nannopterum auritum (double-crested cormorant) vs deposit: Phalacrocorax auritus				Host mismatch: the deposit host field uses outdated taxonomy (Phalacrocorax auritus) while the paper and deposit isolation-source field correctly identify the modern species name (Nannopterum auritum).
PRJNA1477333	host_missing		paper names: broiler chickens; deposit blank/generic			Host is missing from the deposit metadata: the paper studies broiler chickens but the deposit host field is empty.
PRJNA1442370	host_missing		paper names: Forest Musk Deer; deposit blank/generic			Host identity (forest musk deer) is missing from the ENA deposit host field, representing a significant metadata gap despite clear specification in the paper.
PRJEB107655						No reporting errors detected; marmoset (Callithrix jacchus) host matches across paper and deposit, gut sampling context is consistent, and single-host design is confirmed.
PRJEB50625						No genuine reporting errors detected. Deposit specifies rabbit gut metagenome consistent with one focus host in a vertebrate-scope study; all samples are gut-derived intestinal metagenomes.
PRJEB82776						No reporting errors detected. Paper describes vertebrate gut microbiomes; deposit correctly specifies Sus scrofa (pig) as the host organism, with biome label and samples consistent with gut sampling.
PRJNA1056763						No reporting errors detected. Paper's general reference to vertebrate gut microbiomes is consistent with deposit's bovine-specific sampling and metadata.
PRJNA1212753	host_mismatch	paper: vertebrate gut microbiomes (multiple species implied by 'vertebrate' - includes humans and other vertebrates based on context of bilirubin reduction pathway) vs deposit: Canis lupus familiaris (dog)				Host mismatch detected: paper describes vertebrate-wide gut microbiomes but deposit specifies only Canis lupus familiaris.
PRJNA1367213						No reporting errors detected. Paper discusses vertebrate gut microbiomes broadly; deposit specifies sheep (Ovis aries), which is consistent with the vertebrate category and supported by sample titles indicating gastrointestinal segments in sheep.
PRJNA795985						No reporting errors detected. The deposit (Homo sapiens, feces samples) is consistent with a human gut microbiome study that is part of a broader vertebrate investigation.
PRJNA988023						No reporting errors detected. The paper's general 'vertebrate gut microbiomes' framing is consistent with deposit data showing turkey-derived gut samples.
PRJNA1475489						No reporting errors detected. Paper and deposit are fully aligned on human gut microbiome sampling.
PRJNA1320715						No reporting errors detected. This is a properly annotated mouse aging and microbiome study with appropriate host designation and valid gut sampling.
PRJNA1097789						No reporting errors detected. Paper and deposit are consistent on host identity (Drosophila melanogaster), and the study design as a gut virome survey is appropriate for the metagenome classification.
PRJEB106514						No reporting errors detected. Paper and deposit are fully concordant on host identity (Panthera leo/lions), and no evidence of sample-type or multi-host issues.
PRJNA1399069	host_missing; multihost_issue		paper names: freshwater fish (five dominant farmed species); deposit blank/generic		Paper explicitly states 'five dominant farmed freshwater fish species with distinct feeding habits (herbivory, omnivory, filter-feeding, and carnivory)'. Deposit provides no host data to confirm or deny this multiplicity	Deposit lacks all host and sample-level metadata (host field, body sites, isolation sources empty); paper describes five freshwater fish species, making host_missing and multihost_issue flaggable.
PRJEB88111						No reporting errors detected. Paper and deposit are fully concordant: pig (Sus scrofa) diarrhoeal faeces samples.
PRJNA1376267	host_missing		paper names: domestic cats (Felis catus); deposit blank/generic			Host metadata gap: the paper studies domestic cats, but the ENA deposit host field is empty, creating a host_missing error despite correct gut-source annotation in isolation source and sample titles.
PRJNA1434035						No reporting errors detected; empty deposit host field is appropriate for an in vitro microbiome fermentation study derived from rat faeces.
PRJNA1157396						No reporting errors detected. Paper describes a Ggt1-deficient mouse model study of gut microbiota; deposit correctly identifies Mus musculus host with fecal samples only. All metadata is consistent.
PRJNA1263030						No reporting errors detected; deposit host (Ovis aries) matches paper context (rumen microbiota of ruminants/sheep), and sample metadata are consistent with a ruminant gut-microbiota study.
PRJNA1154995	host_missing		paper names: wildlife species from Wolong Nature Reserve (e.g., giant panda, other wild animals); deposit blank/generic			Host species information is missing from the deposit metadata despite the paper studying multiple wildlife species from Wolong Nature Reserve.
PRJEB29232						No reporting errors detected. Paper and deposit are consistent: both describe gut microbiome from foxes (Vulpes vulpes) in the Belyaev Farm-Fox Experiment.
PRJNA1399070						No reporting errors detected; paper and deposit are consistent for host identity (Manis javanica), and no gut-sample or multi-host issues are evident in the available metadata.
PRJNA1054518						No reporting errors detected; paper and deposit align on mouse host, gut sampling, and study design.
PRJNA890321	multihost_issue				Deposit sample-level data explicitly lists 2 distinct host species: Cygnus cygnus and Cygnus atratus. Paper title refers to 'wild birds' (singular concept) without explicitly stating multiple bird species were sampled.	Multihost issue detected: deposit contains two distinct Cygnus species (C. cygnus and C. atratus) while paper presents a single unified bird microbiome study without explicitly acknowledging the species-level diversity.
PRJNA1175865	multihost_issue				Deposit sample-level metadata explicitly lists three distinct host species across samples: Alexandromys fortis, Apodemus agrarius, and Rattus norvegicus. Paper title and abstract refer to 'wild rodents' as a single entity being studied for microbiota response to infection, without acknowledging three separate host species.	Deposit contains samples from three distinct rodent species (Alexandromys fortis, Apodemus agrarius, Rattus norvegicus) that should be explicitly distinguished in the study reporting, not collapsed under the umbrella term 'wild rodents'.
PRJNA792023						No reporting errors detected. Paper and deposit metadata are in full agreement: both describe broiler chickens (Gallus gallus) with gut samples from caecal content.
PRJEB89408	host_mismatch; multihost_issue	paper: 23 marsupial species (multiple species studied) vs deposit: Trichosurus vulpecula (single species)			The deposit biome labels explicitly list multiple distinct marsupial host species: Dactylopsila trivirgata, Dendrolagus lumholtzi, Lasiorhinus latifrons, Macropus giganteus, Notamacropus agilis, Notamacropus parma, Notamacropus rufogriseus, Onychogalea unguifera, Osphranter rufus, and others (list truncated with 'P...'). The deposit host field only names Trichosurus vulpecula, which does not capture the multi-host nature evident in the biome labels.	The study involves 23 marsupial species, but the deposit host field lists only Trichosurus vulpecula while biome labels reveal multiple distinct marsupial species, creating both a host_mismatch and multihost_issue.
PRJNA1167890						PARSE_ERROR
PRJNA340521	host_mismatch	paper: marsupials vs deposit: Capybara				Host mismatch detected: paper describes marsupials but deposit samples are explicitly from Capybara (a rodent, not a marsupial).
PRJNA752224	host_missing		paper names: marsupials; deposit blank/generic			Host missing: paper studies marsupials but deposit host field is blank, though deposit isolation/biome metadata confirms gut samples which is appropriate for the study.
PRJNA543906	host_mismatch	paper: Tibetan antelopes (Pantholops hodgsonii) vs deposit: Homo sapiens				Critical host_mismatch: paper studies Tibetan antelope gut microbiome, but deposit metadata incorrectly lists Homo sapiens as host.
PRJNA1298916						No reporting errors detected; mouse host is appropriate for a synthetic gut microbiota and phage study, and all samples align with gut-microbiota research.
PRJNA1088789	multihost_issue				The deposit's sample-level data explicitly lists four distinct host species: Elaphe taeniura, Pareas formosensis, Protobothrops jerdonii, and Rhabdophis chiwen across the samples. The paper also names four snake species but does not clearly enumerate all four by species name in the abstract provided.	The deposit contains samples from four distinct snake species (Elaphe taeniura, Pareas formosensis, Protobothrops jerdonii, Rhabdophis chiwen), which aligns with the paper's title 'Four Snake Species.' This is the study design, not a reporting error, and the multihost structure is properly represented in both sources.
PRJNA1306187	host_missing		paper names: deer mice (Peromyscus maniculatus) — wild-living populations across the United States; deposit blank/generic			Host missing: the paper identifies deer mice (Peromyscus maniculatus) as the sampled organism, but the deposit host field is blank.
PRJNA1206451						No data-quality issues detected. Paper and deposit perfectly align on host identity (Apis mellifera), and sample metadata is consistent with a single-host gut microbiome study.
PRJNA1264687						No reporting errors detected; paper and deposit are fully concordant on host identity (Protaetia brevitarsis) and sample source (hindgut contents).
PRJEB47909	host_missing		paper names: humans (and other social animals); deposit blank/generic			Host field is missing in the deposit despite the paper describing human microbiome samples; the biome label provides implicit confirmation but explicit host metadata should be recorded.
