study_accession	study_title	study_description
PRJNA1136229	Breaking the Cycle: A Yeast Mannan-Rich Fraction beneficially modulates the antimicrobial resistome associated with Layer hen cecal microbiomes under commercial conditions	This study examined the effect of mannan-rich fraction supplementation on layer hen (Gallus gallus subsp. domesticus) productivity.
PRJNA1137132	Shotgun Metagenomics profiling of gut microbiome of 3xTG mouse, a mouse model of Alzheimer's Disease	In this study we performed a shotgun metagenomics sequencing on stool samples of 3xTG mice and WT mice in order to profile their gut microbiome. AD samples and WT samples were profiled at different timepoints (T0 = 3 months T1 = 6 months T2 = 12 months). Per each timepoint and each group, 6 mice were recruited.
PRJNA1138893	The aim of this study was to analyze the differences in gut microbiota, metabolites, and metabolic pathways between healthy individuals and patients with colorectal cancer	We conducted metagenomic and untargeted metabolomic sequencing analyses of fecal samples collected from patients with CRC (n=26) and healthy controls (n=20) and observed an elevated abundance of potentially pathogenic bacteria such as Escherichia, Fusobacterium, Klebsiella, Lachnoclostridium, Lachnoclostridium, Shigella and Enterococcus alongside reduced abundance of probiotic bacteria including Lactococcus, Lachnospira and Eubacterium in patients with CRC. Metabolites and metabolic pathways related to glycolysis, methane generation, beneficial amino acid degradation, and linoleic acid degradation were significantly elevated in CRC patients compared with healthy controls. Notably, differential analysis identified N-methylserotonin as one of the most significantly differentially expressed metabolites between the two group, and no previous studies have reported the relevance of this metabolite to tumors. Furthermore, N-methylserotonin levels exhibited a significant positive correlation with the abundance of probiotic bacteria such as Lachnospira, as well as with the degree of tumor differentiation, suggesting its potential as a non-invasive biomarker for CRC diagnosis.
PRJNA1140353	Honey bee Apis mellifera Metagenome	Gut microbiome of Apis mellifera identifies abundant bacterial and fungal communities from the two locations in Northern, Philippines, Municipality of Bacnotan, La Union.
PRJNA1141391	Integrating metagenomics with metabolomics for gut microbiota and metabolites profiling in acute pancreatitis	Acute pancreatitis (AP) is an inflammatory disease of the pancreas. Despite of a steadily increasing in morbidity and mortality, there is still no effective therapy. Gut microbial dysbiosis and its derived-metabolites disorder have been shown to play an important role in the development of AP, however, little is known regarding the crosstalk between gut microbiota and metabolites. In this study, we assessed the alterations in gut microbiota and metabolites by constructing three AP mouse models by means of metagenomic and metabolomic sequencing, and further clarified their relationship by correlation analysis. The results revealed that each model exhibited unique flora and metabolite profiles. KEGG analysis showed that the differential flora and metabolite-enriched pathway functions were correlated with lipid metabolism and amino acid metabolism. Moreover, two core differential bacterial species on Burkholderiales bacterium YL45 and Bifidobacterium pseudolongum along with eleven differential metabolites appeared to exert certain effects during the course of AP. In conclusion, further exploration of the crosstalk between microbiota and derived metabolites may provide novel insights and strategies into the diagnosis and treatment of AP.
PRJNA1141435	Microbiome and resistome from yellow perch gut living in different lakes under anthropogenic pressure	This study aimed to analyze the gut microbiome and resistome (antimicrobial resistance gene profile) of yellow perch from two types of lakes under different levels of anthropogenic pressure: wastewater effluent-impacted lakes and undeveloped lakes. Yellow perch were sampled from five lakes in Minnesota, USA. DNA and RNA from these samples were extracted and sequenced for analysis.
PRJNA1141889	Metagenomic data into chicken microbiome	The study aims to explore and characterize the diverse microbial communities present in the chickens using advanced metagenomic sequencing techniques. The study aims to analyse genetic material to assess the potential of metagenomic sequencing in detecting hidden pathogens.
PRJNA1144187	snakes Raw sequence reads	mtagenomic of Achalinus spinalis</p><p>mtagenomic of Boiga kraepelini</p><p>mtagenomic of Deinagkistrodon</p><p>mtagenomic of Elaphe carinata</p><p>mtagenomic of Eryx tataricus</p><p>mtagenomic of Euprepiophis mandarinus</p><p>mtagenomic of Gloydius angusticeps</p><p>mtagenomic of Hebius craspedogaster</p><p>mtagenomic of Oligodon chinensis</p><p>mtagenomic of Opisthotropis latouchii</p><p>mtagenomic of Pareas hamptoni</p><p>mtagenomic of Pareas margaritophorus</p><p>mtagenomic of Ptyas dhumnades</p><p>mtagenomic of Rhabdophis nuchalis</p><p>mtagenomic of Sibynophis chinensis</p><p>mtagenomic of Thermophis baileyi</p><p>mtagenomic of Thermophis zhaoermii</p><p>mtagenomic of Trimerodytes annularis</p><p>mtagenomic of Trimerodytes percarinatus</p><p>mtagenomic of Xenopeltis hainanensis</p><p>mtagenomic of Boiga multomaculata</p><p>mtagenomic of Trimeresurus yunnanensis
PRJNA1145617	TurkeyBiom - Insights into the turkey gut microbiota	A shotgun metagenomic sequencing project investigating the caecal microbiota of healthy turkeys in Norway in relation to monensin use and antibiotic treatment
PRJNA1146968	Gut microbiome metagenomic analysis of Moschus chrysogaster, Capricornis sumatraensis, and Cervus albirostris	Gut microbiome metagenomic comparative analysis of Alpine musk deer, mainland serow and white-lipped deer
PRJNA1147314	Clearing the air on pollutant disruptions of the gut-brain axis: Developmental exposure to Benzo[a]pyrene disturbs zebrafish behavior and the gut microbiome in adults and subsequent generations	Developmental exposure to benzo[a]pyrene (BaP), a ubiquitous environmental pollutant, has been linked to various toxic effects, including neurodegenerative disorders and, most recently, multigenerational behavioral impairment. While the specific mechanisms driving BaP neurotoxicity are not fully understood, recent work highlights two important determinants of developmental BaP neurotoxicity: (1) the aryl hydrocarbon receptor (AHR), which is responsible for inducing host metabolism of BaP, and (2) the gut microbiome, which may interact with BaP to affect its metabolism, or be perturbed directly by BaP to yield disruptions to the gut-brain axis. To explore the role of AHR, the gut microbiome, and their interaction on BaP-induced neurotoxicity, we utilized the zebrafish model. We sought to determine (1) how exposure to BaP and developmental expression of AHR2, a key gene in the zebrafish AHR pathway, link to adult zebrafish behavior, (2) how these same variables associated with the structure and function of the adult zebrafish gut metagenome, and (3) whether these associations were multigenerational. This finding revealed a reticulated axis of association between BaP exposure, developmental AHR2 expression, the zebrafish gut metagenome, and behavior. Our results also indicate that AHR2 is a key mediator of how BaP elicits neurotoxicity and microbiome dysbiosis. Additionally, this axis of association manifests inter- and transgenerationally, suggesting that exposure to BaP may yield dysbiotic and neurodevelopmental impacts on subsequent generations. These findings demonstrate the power of utilizing the zebrafish model to study pollutant-metagenome interactions and elucidate the role of specific host genes in the neurotoxicity and dysbiosis.
PRJNA1148062	Porcine intestinal flora	To study the effect of vomitoxin on the intestinal microbiota of pigs
PRJNA1148150	Dietary impact on the gut resistome: western diet independently increases the prevalence of antibiotic resistance genes within the gut microbiota	Dietary impact on the gut resistome: western diet independently increases the prevalence of antibiotic resistance genes within the gut microbiota
PRJNA1151203	metagenome of monkey gut	gut metagenome of Himalayan Langurs (Semnopithecus schistaceus) and Xizang Macaques (Macaca mulatta vestita)
PRJNA1154995	Gut microbiomes of wildlife with different diets under conservation	A Non-Invasive Fecal Analysis
PRJNA1157353	Gut microbiome evolution across honeybee species	First shotgun metagenomic dataset of Asian honeybee species. Studying gut microbiota evolution across animals is crucial for understanding the maintenance of complex symbiotic interactions but is hampered by limited high-resolution genomic data from closely related hosts. With their highly specialized gut microbiota and well-known ecology, honeybees provide tractable systems to study microbiota evolution. Using shotgun metagenomics on two hundred widely sampled honeybee workers of five different species (Apis mellifera, Apis cerana, Apis dorsata, Apis andreniformis, Apis florea), we recovered thousands of metagenome-assembled genomes, identifying many novel bacterial species. Beyond offering new insights into gut microbiota evolution, our study uncovers the functional potential of the gut microbiota of Asian honeybees, which remained underexplored despite the crucial role of these pollinators in their native ecosystem.
PRJNA1157396	Gut microbiota impairs spermatogenesis in Ggt1-deficient mice	This study investigates the relationship between male infertility and gut microbiota dysbiosis, focusing on its impact on spermatogenesis. RNA sequencing and fecal metagenomic analysis were performed on wild-type (WT) mice and gamma-glutamyltransferase 1 knockout (KO) mice. Additional transcriptomic and fecal metagenomic analyses were conducted on mice after fecal microbiota transplantation (FMT), including those receiving fecal microbiota from WT mice (FMT-WT) and those receiving fecal microbiota from KO mice (FMT-KO). KO mice exhibit features of male infertility, such as reduced numbers of germ cells and Leydig cells in the testes, as well as an increased proportion of abnormal sperm. Metagenomic analysis of fecal microbiota reveals significant differences between KO and WT mice. Transplantation of fecal microbiota from KO mice results in decreased germ cell and sperm counts, and an increased proportion of abnormal sperm in recipient mice. Transcriptomic analysis shows reduced expression levels of kallikrein family members (Klk1b21, Klk1b22, Klk1b24, Klk1b27) in Leydig cells of KO and FMT-KO mice.
PRJNA1158959	Global wild boar gut microbiomes	This study aims to investigate wild boar gut microbiomes through metagenomic profiling of fecal samples collected from four countries.
PRJNA1161368	Metagenomic data of cows during the transition period	The objective of this project was to investigate the succession of rumen and fecal microbiome in dairy cows during the transition period
PRJNA1161616	freshwater mesocosm metagenomes	Freshwater spike-in mesocosms containing various fecal or synthetic community spike-ins.
PRJNA1163371	Structural and functional characterization of a porcine intestinal microbial ecosystem developed in vitro	This study is a comparison of the gut microbiome of juvenile pigs compared to the in vitro microbiome developed using fecal inoculum from the same pigs. Regional comparisons are made between the proximal and distal colons and the reactor communities representing those regions.
PRJNA1164203	Metagenomic sequencing of cynomolgus macaque stool	Intestinal lumen and faecal samples were collected from captive cynomolgus macaques aged 4-20 years. Intestinal content was obtained post-mortem from six regions (duodenum, jejunum, ileum, caecum, proximal colon, and distal colon). The samples were sequenced using Illumina metagenomic shotgun sequencing
PRJNA1165944	Bovine rumen macrogenome sequencing	Investigating MSTN gene edited bovine rumen macrogenomic changes
PRJNA1167890	Investigation of marsupial gut methanogens using metagenomic sequencing	Faecal samples from 33 marsupials were analysed using metagenomic sequencing to recover methanogenic archaeal genomes
PRJNA1171181	gut metagenome	Siniperca chuatsi gut metagenome
PRJNA1171501	Akkermansia muciniphila ameliorates imiquimod-induced skin thickening, colitis, and gut microbiota alterations	A decreased abundance of fecal Akkermansia muciniphila (Akk) has been observed in patients with psoriasis and psoriatic arthritis. The potential beneficial effect of Akk in managing psoriasis has been proposed, yet with inconsistent results and unclear mechanisms. This study aimed to examine the impact of Akk on skin and systemic inflammation, intestinal barrier integrity, and gut microbiota profiles in the psoriasis mouse model.
PRJNA1173401	chicken cecal microbiota metagenomic analysis	Study on the metabolic process of RA by chicken cecal microbiota
PRJNA1175391	fecal microbe from Micropterus salmoides	Metagenomic sequencing data of fecal microbiota form Micropterus salmoides, treatment included Gracilaria lemaneiformis feeding, Asparagopsis taxiformis feeding, Sargassum hemiphyllum feeding and feeding no the macroalgal supplement
PRJNA1175865	128 Wild rodent gut flora metagenomes	A total of 128 wild rodents were captured, including Apodemus agrarius (n = 18), Rattus norvegicus (n = 30), Rattus flavipectus (n = 20), Mus musculus (n = 20), and Microtus fortis (n = 40), using peanuts or sunflower seeds as bait.
PRJNA1180206	gut metagenome Metagenome	The project investigates the metabolism of branched-chain amino acids in the gut microbiota and the impact of their metabolites on the gut microbiota of D-galactose-induced aging mice.
PRJNA1182340	Gut microbiome Metagenome	Mus musculus gut microbiome profile under different pollutants
PRJNA1184324	feces metagenome	Mice had 20g stool before dissection
PRJNA1184454	Decomposing gut microbiome of diarrhea calves from multiple farms in Inner Mongolia using 16S and metagenomics.	Background: Neonatal Calf Diarrhea (NCD) is a critical disease contributing to neonatal mortality in calves, with its pathogenesis remaining to be fully understood.</p><p>Results: Our study was conducted in Inner Mongolia, a key region for cattle farming in China, aiming to provide a comprehensive overview of the epidemiology and treatment of calf diarrhea in this locale. No significant correlation was found between the incidence of diarrhea and sampling points or medication. Diarrhea cases were stratified into five severity levels based on fecal characteristics, with L1 representing the least severe, closest to normal stool consistency, and L5 indicating the most severe diarrhea. To elucidate the pathogenesis of NCD, we performed 16S rRNA and metagenomic sequencing analyses across the four categorized levels. Microbial diversity analyses revealed distinct variations in the microbial communities among the different severity levels. Employing binning and LEfSe methodologies, we identified a bacterial pathogen from the family f_Streptococcaceae and a viral agent, Escherichia phage VpaE1_ev108, both of which showed significant associations with disease progression. Gene function enrichment analysis uncovered a broad spectrum of antibiotic resistance genes, even in farms without direct antibiotic treatment, underscoring the pervasive presence of drug resistance. Phage therapy, with its potential to reduce biological contamination and resistance on farms, holds significant promise for future applications.</p><p>Conclusions: this study conducted a regional analysis of incidence and treatment of NCD across 12 farms in the Inner Mongolia Autonomous Region, China. Concurrently, potential pathogenic bacteria associated with NCD were identified via 16S rRNA and metagenomic sequencing analyses: Streptococcus. Furthermore, we assembled multiple relatively complete binned bacterial and viral genomic datasets. These datasets provide a rich resource for researchers, offering valuable insights into the complex etiology of NCD.
PRJNA1186832	The gut isolates of Lactiplantibacillus plantarum HNU082 (Lp082) during intestinal domestication in mice	After administrating the probiotics Lactiplantibacillus plantarum HNU082 (Lp082) in healthy mice, the Lp082 isolates were collected and sequenced.
PRJNA1187318	Treatment of sham and ovariectomized mice with a probiotic mix	Studies have demonstrated that a probiotic mixture of Lacticaseibacillus paracasei DSM13434, Lactiplantibacillus plantarum DSM 15312 and DSM 15313 (L. Mix) prevents bone loss in ovariectomized (ovx) female mice. The purpose of the present study was to investigate the underlying mechanism for the stimulatory effect of L. Mix on bone mineral density and lean mass in mice. Ten-week-old female mice were subjected to either sham or ovx surgery and treated with L. Mix or vehicle in the drinking water for 12 weeks. Cecal content from the following four groups were metagenome sequenced to determine the effect of L. Mix on the gut microbiome: Sham Veh (VS), Ovx Veh (VO), Sham L. Mix (PS), Ovx L. Mix (PO).
PRJNA1187854	Metagenomic analysis of feces from healthy and ketosis-affected cows	To reveal the difference of fecal microbiome between healthy cows and ketosis-affected cows
PRJNA1187897	Fecal metagenomic Binning in healthy and ketosick cows	Single spell metagenomic Binning results of feces
PRJNA1190643	Effects of Klebsiella pneumoniae Infection on the Gut Microbiota	Klebsiella pneumoniae is a type of bacteria known to cause infections in humans. This study explores how Klebsiella pneumoniae infection disrupts the delicate balance of gut bacteria.
PRJNA1192041	Changes of intestinal microbiome and its relationship with painful diabetic neuropathy in rats	Objective: To analyze the gut bacterial microbiome in rats with painful diabetic neuropathy (PDN) compared to normal rats.This study demonstrates that the gut bacterial microbiome of rats with PDN differs from that of control rats. The findings may contribute to the development of new therapeutic approaches for diabetic patients and those with diabetic peripheral neuropathy.
PRJNA1193062	Effects of untreated dairy manure on soil microbiome	Biological soil amendments of animal origin (BSAAO) improve the soil health of agricultural fields for plant growth. However, as natural reservoirs for bacterial foodborne pathogens, BSAAO application can introduce and support microbes of public health concern, such as pathogenic Shiga toxin-producing Escherichia coli (STEC), in agricultural soils. Shiga toxin-producing E. coli (STEC), including E. coli O157:H7, is a major etiological agent of foodborne human disease outbreaks associated with fresh produce and can be transferred to produce via contaminated agricultural soil. Given the devastating impacts of foodborne STEC outbreaks on public health and growers , it is necessary to understand the longevity of the impacts of manure application on the pathogen risk in the soil as well as better understand the ecological and environmental conditions that contribute to STEC survival in the agricultural soil environment. Using shotgun metagenomic sequencing, this project investigated the microbiome of soil with and without BSAAO, focusing on STEC and the E. coli population over time alongside changes in the soil microbiome and soil abiotic properties. Two farms in Ohio, one using an untreated dairy manure amendment and one that does not use a BSAAO, were sampled for over a year for metagenomic analysis of the soil microbiome. This work expands upon the knowledge of conditions that support STEC persistence in the produce growing environment and its longevity following amendment, leading to improved guidelines and farming practices to prevent foodborne disease.
PRJNA1193782	Metegenomic of the pig	Metegenomic for the pig
PRJNA1199800	Effects of meglumine antimoniate and allopurinol treatment on fecal microbiome profile in dogs with leishmaniosis	A microbiome study of 10 Leishmania-infected dogs to assess the possible effects of antileishmanial drugs (meglumine antimoniate and allopurinol) on gut microbiome during treatment.
PRJNA1202651	Streptomycin-induced MSP depletion and reconstitution by colonization	Here, we investigated the role of MSPs in mice during disease-modeled colonic energetic stress using a strain of E. coli genetically modified for enhanced purine nucleobase release (E. coli Mutant).
PRJNA1204506	Impact of ARGs on poultry gut metagenome	Poultry farms, characterized by intensive antibiotic use and densely populated environments, are critical hotspots for the emergence and spread of antibiotic resistance genes (ARGs). Despite extensive research on ARG transmission, the specific roles of plasmids and phages in shaping resistance within poultry fecal microbiota remain insufficiently understood. This study investigates the contributions of plasmid- and phage-associated ARGs to antibiotic resistance dynamics in poultry gut microbiome.
PRJNA1205074	rattus norvegicus_DJB_NAFLD_sequence reads	Duodenal-jejunal bypass ameliorates MASLD in rats by regulating gut microbiota and bile acid metabolism through FXR pathways
PRJNA1206451	Honey bee worker short-read gut microbiome	Study combined short read metagenomic sequencing and HiC proximity ligation sequencing to explore mobilome dynamics within the honey bee worker gut
PRJNA1206727	Resistome study from patient samples	This study aims to better understand and characterize the resistome from rectal samples of patients in the western region of Santa Catarina state (Brazil).
PRJNA1206810	Felis silvestris catus feces Raw sequence reads	The metagenome of cat feces
PRJNA1208715	Porcine Shotgun Metagenomics	The dataset pertains to the fecal shotgun metagenomics of a porcine model subjected to social stress
PRJNA1209849	Gut metagenomics Raw sequence reads	Metagenomics were used to explore the characteristics of microbiota in the feces of centenarians
PRJNA1210771	Raw sequence reads of 16S rRNA, metagenome, and metatranscriptome from Antarctic krill gut	The study investigated the composition, diversity and roles of the gut microbiota in E. superba.
PRJNA1211300	Metagenomic sequencing data of hepatocellular carcinoma patients receiving immunotherapy	Hepatocellular carcinoma patients treated with immunotherapy first were prospectively enrolled in the cohort study, and fecal samples were subjected to shotgun metagenomics sequencing.
PRJNA1212753	Effects of yeast-enriched functionalized canola meal supplementation on apparent total tract macronutrient digestibility and fecal characteristics, fecal microbiota, and immune function of healthy adult dogs	Brewer's dried yeast has a high nutritional value and has long been utilized by the animal feed industry as a source of protein, B-complex vitamins, and minerals. Because yeast is rich in polyphenols, mannanoligosaccharides, and beta-glucans, it may also be used as a functional ingredient, providing benefits beyond that of its nutrient content. Canola meal is a high-fiber ingredient that also has unique properties, especially when it is wetted and dried using a proprietary drying system that creates a 'functionalized' canola meal. In this experiment, functionalized canola meal was enriched with different levels of brewer's dried yeast, then fed to dogs to evaluate its effects on nutrient digestibility, stool characteristics, microbiota populations, and immunity.
PRJNA1214001	gut metagenome	SD rats in tail suspension model were fed either a common or a special diet containing 2.5% Hericium erinaceus polysaccharide for 4 weeks
PRJNA1214037	Gut microbiome in swine dysentery	This project involves omics sequencing for understanding the role of the microbiota in Brachyspira hyodysenteriae infection (swine dysentery). Samples were collected in different localization of the large intestine and stages of the disease in a controlled challenge. It aims at providing detailed data to understand the pathogenesis of swine dysentery in particular and add information to the daunting research in colonic inflammatory diseases.
PRJNA1215014	Piglet colon digesta sample, microbial 16S rRNA sequencing raw data	Piglet colon digesta sample, raw data of microbial 16S rRNA V4 region sequencing
PRJNA1217868	Reduction of Allograft Apoptosis, Epithelial Damage, and Inflammation in Intestinal Transplantation with Normothermic Machine Perfusion	The intestinal microbiome of the jejunum and ileum was evaluated in porcine intestinal transplantation utilizing normothermic machine perfusion. Samples were collected immediately prior to storage, at the end of NMP storage, and two days following transplantation.
PRJNA1218713	Gut microbiota (swine) shotgun sequencing	Shotgun sequencing of the gut microbiota from pigs, at different ages, infected by Brachyspira hyointestinalis.
PRJNA1219188	Copper-induced microbiota shifts in piglets	Copper sulphate is used as a feed additive in the pig industry since EU-wide ban on the use of antibiotics as growth promoters. Four-week-old piglets (n=60) were separated into two groups and fed on diet with high (therapeutic) or low (nutritional) levels of copper sulphate. Faecal samples were collected immediately prior to and on day 7 and 14 following placing piglets on low or high copper diet.
PRJNA1222153	Waltham Catalogue for the Canine Gut Microbiome: A complete taxonomic and functional catalogue of the canine gut microbiome through novel metagenomic based genome discovery	Background: Over a number of decades, research into canine health and wellbeing has led to substantial findings in key areas such as management of disease, growth, and aging. To date, the majority of microbiome research and databases has been focused on environmental, rodent and human samples giving biases to databases and to interpretation of other species. Given the emergence of the microbiome as a key driver of health and disease, we aimed to produce the most comprehensive catalogue of the gut microbiome of dogs giving novel insights into the functional role of the microbiome in dogs.</p><p>Results: We generated 1,031 dereplicated metagenome-assembled genomes (MAGs) from canine fecal samples collected across Europe and the USA. From these MAGs, we describe 89 novel species, 10 novel genera and 982 novel strains. This allowed us to profile an independent dataset at mapping rates of 94%, with 32.6 % of reads mapping to novel species. A comprehensive analysis of functional data uncovered 4,182 orthologous gene groups and gives a new view of carbohydrate metabolism capacity of the canine gut microbiome with the discovery of 244 carbohydrate active enzymes spread across a vast range of bacterial species. Collectively, our data demonstrates the canine microbiome is distinct, presumably having evolved to its host, diet and environment over several millennia.</p><p>Conclusions: We have generated the most complete catalogue to date of the canine gut microbiome at taxonomic and functional levels giving a resource to all researchers in the field, uncovering many novel taxa, and giving insights into the functional role of the canine microbiome to the canine host.
PRJNA1224791	Chicken Gut Metagenomes	Metagenomics survey of ileal and cecal contents of broiler chickens to determine the effect of probiotic treatments on microbiome composition and pathogen load.
PRJNA1225188	Precision Glycans Enhance Gamma-Aminobutyric Acid Production in Human Gut Model	Background: Prebiotics, substrates selectively utilized by host microorganisms to confer health benefits, can induce the production of microbial metabolites involved in regulating host biological functions. Several of these metabolites, including gamma-aminobutyric acid (GABA), play a crucial role in regulating neural activity and can be linked to a variety of neurological as well as physiological disorders. While GABA is primarily synthesized in the brain, emerging evidence suggests that the gut microbiome can also contribute to systemic GABA levels. Abiotic glycans, synthesized oligosaccharides containing structures not typically found in nature, are a promising candidate for increasing systemic GABA levels through the targeted modulation of the gut microbiome via the enrichment of GABA-producing microorganisms.</p><p>Results: In this study, we investigated the impact of abiotic oligosaccharides on human fecal microbiota and GABA production. We identified a specific glycan, SG-Glc, that significantly increases GABA levels in ex vivo fermentation experiments wherein the constituent simple sugar had no impact on GABA levels. We find Bifidobacterium adolescentis is a key species driving this increase. Further analysis revealed that B. adolescentis possesses both genes required for GABA production and a unique CAZyme (carbohydrate-active enzyme) profile enabling it to utilize SG-Glc for growth while producing GABA, unlike other Bifidobacterium species.</p><p>Conclusions: Our findings highlight the potential of abiotic oligosaccharides to modulate the gut microbiome and enhance GABA production, offering an expanded toolbox for targeting the gut-brain axis. By understanding the specific mechanisms underlying these effects, we may develop innovative strategies for improving overall brain function with possible impacts on both mental and physiological health and well-being.
PRJNA1225421	Microbiome data from the ECoMiD cohort study in Ecuador	Microbiome sequencing data from the ECoMiD cohort study.
PRJNA1226362	Analysis of intestinal flora in commonly used SPF mice on metagenomic sequencing	The effects of feeding environment and strains on intestinal microflora of SPF mice were analyzed by metagenomic analysis
PRJNA1227156	broiler chicken microbiota Raw sequence reads	The focus of this project was to characterize plasmidome and resistome in the fecal droppings of chickens.
PRJNA1227608	"Global distribution of carrageenan foraging pathways reveals widespread latent traits within the genetic ""dark matter"" of ruminant intestinal microbiomes"	This study aimed to identify the adaptation of ruminant microbiomes to red seaweed M. japonica. study includes illumina sequencing of: bovine rumen and fecal metagenomes on and off M. japonica supplemented diets, non-bovine ruminant and (pseudo)ruminants fecal microbiomes enriched on seaweed polysaccharides, and bacterial isolates enriched from seaweed polysaccharides. Nanopore sequencing for select datasets was also performed.
PRJNA1227753	mouse gut metagenome Raw sequence reads	We aimed to investigate the role of Shenling Baizhu Powder in asthma and its association with the gut microenvironment.
PRJNA1211045	Freshwater snail faeces raw sequence reads	Shotgun metagenomic sequencing of freshwater snail faeces across four administrative regions (Malawi, Uganda, Zanzibar, United Kingdom) in two continents (Africa, Europe).
PRJNA1148165	Gut metagenomic samples of IBD patients	This dataset comprises metagenomic sequencing data from fecal samples of patients with Inflammatory Bowel Disease (IBD).
PRJNA1228539	Sequences of gut microbiota in Trachypithecus francoisi from different regions	We employed metagenomic technology to investigate intersite differences in the function of gut microbiota of Trachypithecus francoisi.
PRJNA1228986	LBC AA Metagenomics and gut microbiome Metagenome	LBC AA Metagenomics and gut microbiome Metagenome
PRJNA1229795	Theabrownin, in combination with Zearalenone, suppressed colitis-associated colorectal cancer via PI3K/AKT pathway and promoting microbial propionate production	Here we share the metagenomics data for the publication: Theabrownin, in combination with Zearalenone, suppressed colitis-associated colorectal cancer via PI3K/AKT pathway and promoting microbial propionate production.
PRJNA1232341	Piglet fecal microbial 16S rRNA sequencing data	16S rRNA sequencing data of fecal microorganisms of piglets at different ages and under different feeding methods (12d, 37d / sow milk, milk replacer). See the article for details.
PRJNA1232403	Phage diversity mirrors bacterial strain diversity in the honey bee gut microbiota	Bacteriophages (phages) play a crucial role in shaping bacterial communities, yet the relationship between phage and bacterial diversity remains poorly understood, particularly in animal-associated microbiomes. Here, we reconstructed the phage-bacteria interaction network in the gut microbiota of 49 honey bees by leveraging CRISPR spacer matches and genome homology. The resulting interaction network displayed a highly modular structure with nested phage-bacteria interaction within each module. Viral and bacterial alpha and beta diversity were correlated, particularly at the bacterial strain level and when explicitly considering the interaction network in diversity analysis. Overall, our results suggest that the most relevant approach to study phage-bacteria diversity patterns should rely on strain-level resolution and the explicit use of the interaction network. This offer an explanation as to why previous studies have failed to detect phage-bacteria diversity correlations. Finally, we call for further studies building up on these correlation patterns to probe the underlying mechanisms by integrating both bottom-up and top-down regulatory mechanisms in microbiome assembly.
PRJNA1233886	16S and ITS rDNA Sequences of the Eviscerated Gut Environment in Holothuria glaberrima	The data provided consist of raw sequence reads of the 16S rDNA gene and the Internal Transcribed Spacer (ITS) rDNA region, obtained from four distinct regions of the eviscerated gut of Holothuria glaberrima. The sampled regions include the complete digestive system (DS), the washed intestine (WI), the contents from the washed intestine (CW), and the fecal content (FC). The specimens were collected from Pinones Beach in San Juan, Puerto Rico. This approach provides valuable insights into the microbial diversity and composition within the eviscerated gut environment of H. glaberrima.
PRJNA1234694	Gut microbiome of the agricultural pest Diaprepes abbreviatus	This study sequenced the gut microbiome of the agricultural pest Diaprepes abbreviatus. Nine samples corresponding to various regions of the gut of males and females were collected and sequenced using shotgun metagenomics.
PRJNA1238482	Characterization and comparison of the fecal bacterial microbiota in Red back pine root snake (Oligodon formosanus) and Chinese slug-eating snake (Pareas chinensis)	The gastrointestinal tracts and oral cavities of animals harbor complex microbial communities that assist hosts in nutrient absorption and immune responses, thereby influencing behavior, development, reproduction, and overall health. In this study, we utilized metagenomic sequencing technology to conduct a detailed analysis of the fecal bacterial communities of six Red Back Pine Root Snakes and three Chinese Slug-Eating Snakes to examine the differences in microbial community composition in different environments.
PRJNA1242249	Study on the Differences in Gut Microbiota Diversity among Wild Forest Musk Deer in Hunan and Chongqing and Captive Forest Musk Deer	This study focuses on the forest musk deer, a first-class protected animal in the world, aiming to explore the differences in gut microbiota diversity among wild forest musk deer from different regions and captive forest musk deer. During the research, we collected three groups of samples, with 8 samples in each group. Two of the groups were feces from wild forest musk deer in Chongqing and Hunan respectively, and the other group was feces from captive forest musk deer. Through sequencing and analysis of these samples, we expect to reveal the unique characteristics of the gut microbiota communities of wild forest musk deer in Hunan and Chongqing, as well as the differences between them and the gut microbiota of captive forest musk deer. This research not only helps us to understand the physiological and ecological characteristics of forest musk deer more deeply, but also provides important scientific basis for the protection and health management of forest musk deer.
PRJNA1243555	3rd Generation Cephalosporin Resistant on Chicken Intestinal Tract	Oral and Parenteral Treatment with a 3rd Generation Cephalosporin Promotes the Proliferation of Diverse ESBL-producing Escherichia coli in the Chicken Intestinal Tract
PRJNA1245063	16S ribosomal RNA sequencing of animal gut microbes	In this study, the antibacterial effect of Lactobacillus on intestinal Escherichia coli in poultry breeding and the optimization of intestinal microbial structure and function were studied.
PRJNA1247471	Resistome of panda	The feces were collected for metagenomic analysis with the pipeline ARGSOAP to extract ARG information
