study_accession	discrepancy_flags	discrepancy_host	discrepancy_host_missing	discrepancy_gut	discrepancy_multihost	discrepancy_notes	paper_title	host_species
PRJEB89408	host_mismatch; multihost_issue	paper: 23 marsupial species (multiple species studied) vs deposit: Trichosurus vulpecula (single species)			The deposit biome labels explicitly list multiple distinct marsupial host species: Dactylopsila trivirgata, Dendrolagus lumholtzi, Lasiorhinus latifrons, Macropus giganteus, Notamacropus agilis, Notamacropus parma, Notamacropus rufogriseus, Onychogalea unguifera, Osphranter rufus, and others (list truncated with 'P...'). The deposit host field only names Trichosurus vulpecula, which does not capture the multi-host nature evident in the biome labels.	The study involves 23 marsupial species, but the deposit host field lists only Trichosurus vulpecula while biome labels reveal multiple distinct marsupial species, creating both a host_mismatch and multihost_issue.	A molecular inventory of the faecal microbiomes of 23 marsupial species.	Trichosurus vulpecula
PRJNA340521	host_mismatch	paper: marsupials vs deposit: Capybara				Host mismatch detected: paper describes marsupials but deposit samples are explicitly from Capybara (a rodent, not a marsupial).	Metagenomic analysis of fecal microbiomes reveals genetic potential for diverse hydrogen management strategies in marsupials.	
PRJNA752224	host_missing		paper names: marsupials; deposit blank/generic			Host missing: paper studies marsupials but deposit host field is blank, though deposit isolation/biome metadata confirms gut samples which is appropriate for the study.	Metagenomic analysis of fecal microbiomes reveals genetic potential for diverse hydrogen management strategies in marsupials.	
PRJNA543906	host_mismatch	paper: Tibetan antelopes (Pantholops hodgsonii) vs deposit: Homo sapiens				Critical host_mismatch: paper studies Tibetan antelope gut microbiome, but deposit metadata incorrectly lists Homo sapiens as host.	Comprehensive profiling of antibiotic resistance, virulence genes, and mobile genetic elements in the gut microbiome of Tibetan antelopes.	Homo sapiens
PRJNA1088789	multihost_issue				The deposit's sample-level data explicitly lists four distinct host species: Elaphe taeniura, Pareas formosensis, Protobothrops jerdonii, and Rhabdophis chiwen across the samples. The paper also names four snake species but does not clearly enumerate all four by species name in the abstract provided.	The deposit contains samples from four distinct snake species (Elaphe taeniura, Pareas formosensis, Protobothrops jerdonii, Rhabdophis chiwen), which aligns with the paper's title 'Four Snake Species.' This is the study design, not a reporting error, and the multihost structure is properly represented in both sources.	The Influence of Diet on the Composition and Function of Gut Microbiota in Four Snake Species.	Elaphe taeniura
PRJNA1306187	host_missing		paper names: deer mice (Peromyscus maniculatus) — wild-living populations across the United States; deposit blank/generic			Host missing: the paper identifies deer mice (Peromyscus maniculatus) as the sampled organism, but the deposit host field is blank.	Isolation by distance promotes strain diversification in the wild mouse gut microbiota.	
PRJEB47909	host_missing		paper names: humans (and other social animals); deposit blank/generic			Host field is missing in the deposit despite the paper describing human microbiome samples; the biome label provides implicit confirmation but explicit host metadata should be recorded.	Shared environments complicate the use of strain-resolved metagenomics to infer microbiome transmission.	
PRJNA1092791	multihost_issue				Deposit sample-level titles explicitly name four donor species: 'Bama-mini pig donor bacteria' (Sus scrofa), 'Beagle dog donor bacteria' (Canis lupus familiaris), plus Macaca fascicularis and Mus musculus implied in the design. Deposit host_species_list shows: Canis lupus familiaris; Macaca fascicularis; Mus musculus; Sus scrofa (four distinct species).	No genuine reporting errors. The study explicitly describes a multi-donor, single-recipient (germ-free mouse) microbiota transplant design, which is correctly reflected in both the paper and deposit metadata.	Colonization of microbiota derived from Macaca fascicularis, Bama miniature pigs, beagle dogs, and C57BL/6J mice alleviates DSS-induced colitis in germ-free mice.	Mus musculus
PRJNA884830	host_missing		paper names: Rhinopithecius bieti (Yunnan snub-nosed monkey); deposit blank/generic			Host species (Rhinopithecius bieti) is identified in the paper but missing from the deposit host field, which contains only a generic descriptor; sample type is correctly gut-derived (feces).	Metagenomic and culture-dependent analysis of Rhinopithecius bieti gut microbiota and characterization of a novel genus of Sphingobacteriaceae.	feces metagenome
PRJNA1067830	multihost_issue				Deposit host species field explicitly lists 2 distinct species: 'Homo sapiens; Mus musculus'. Sample titles and biome labels include both 'mouse gut metagenome' samples and references to isolates. The paper presents the intervention as a human malnutrition study but the deposit contains samples from two distinct host organisms without clear segregation in the abstract's framing.	The deposit contains samples from two distinct host species (Homo sapiens and Mus musculus) but the paper abstract does not clearly disclose this multi-host composition, constituting a reporting transparency issue.	Prevotella copri and microbiota members mediate the beneficial effects of a therapeutic food for malnutrition.	Mus musculus
PRJNA1031251	host_missing		paper names: Jianghan chicken (Gallus gallus domesticus); deposit blank/generic			Host metadata is missing from the deposit (ground-truth gap), though the paper clearly identifies Jianghan chicken as the sampled host.	Metagenome-assembled genome reveals species and functional composition of Jianghan chicken gut microbiota and isolation of Pediococcus acidilactic with probiotic properties.	missing
PRJNA1003305	host_missing		paper names: not explicitly named in the provided abstract; deposit blank/generic			The paper abstract fails to explicitly state the host organism, creating a reporting gap; the deposit assigns 'Mice' as the host, but this fundamental mismatch between an apparently human clinical study and a mouse deposit warrants clarification.	Comprehensive analysis of the gut microbiome and post-translational modifications elucidates the route involved in microbiota-host interactions.	Mice
PRJNA942254	multihost_issue				Deposit host_species_list contains 9 distinct species: Cabassous unicinctus, Dasypus kappleri, Dasypus novemcinctus, Dasypus sp., Myrmecophaga tridactyla, Orycteropus afer, Proteles cristata, Smutsia temminckii, Tamandua tetradactyla. Paper title frames this as 'convergent myrmecophagous mammals' (plural, multiple species). While the paper acknowledges multiple species, the deposit explicitly names all 9 species across samples, confirming a genuinely multi-host study.	This is a legitimate multi-host comparative metagenomics study of myrmecophagous mammals; the deposit correctly documents 9 distinct host species in sample-level metadata, and the paper's framing of convergent dietary adaptations across these species is consistent with the deposit structure.	Metagenomics uncovers dietary adaptations for chitin digestion in the gut microbiota of convergent myrmecophagous mammals.	Proteles cristata
PRJNA938989	host_mismatch	paper: Cynoglossus semilaevis (half-smooth tongue sole, a fish) vs deposit: Acinetobacter baumannii (a bacterium)				The deposit host field incorrectly lists 'Acinetobacter baumannii' (a bacterium) instead of the actual host organism, Cynoglossus semilaevis (the fish from which samples were taken).	Population response of intestinal microbiota to acute Vibrio alginolyticus infection in half-smooth tongue sole (Cynoglossus semilaevis).	Acinetobacter baumannii
PRJEB29346	host_mismatch	paper: salmonid (fish) vs deposit: Gadus morhua (Atlantic cod)				Critical host_mismatch: paper describes salmonid intestinal samples, but deposit is Gadus morhua (Atlantic cod, a gadid), not a salmonid fish.	Co-diversification of an intestinal Mycoplasma and its salmonid host.	Gadus morhua
PRJNA811648	host_missing		paper names: human (implied by context of oral implantology/periodontal pathogen and systemic disease progression in humans); deposit blank/generic			Host organism (human) is implied by the paper's context but missing from the deposit metadata, constituting a metadata gap rather than a true mismatch.	Multi-omics insights reveal the remodeling of gut mycobiome with P. gingivalis.	missing
PRJNA787384	host_mismatch; multihost_issue	paper: Yunnan snub-nosed monkey (Rhinopithecus bieti) AND bamboo-eating panda (Ailuropoda melanoleuca) vs deposit: Rhinopithecus bieti only			Paper explicitly studies two distinct host species: Yunnan snub-nosed monkey (Rhinopithecus bieti) and bamboo-eating panda (Ailuropoda melanoleuca). Deposit host field lists only Rhinopithecus bieti. Sample titles (W-10, W-12, W-24, W-25, W-29) do not disambiguate which samples belong to which host.	The paper studies gut microbiomes from two host species (Yunnan snub-nosed monkey and bamboo-eating panda), but the deposit lists only Rhinopithecus bieti, indicating incomplete or mismatched host metadata.	Functional convergence of Yunnan snub-nosed monkey and bamboo-eating panda gut microbiomes revealing the driving by dietary flexibility on mammal gut microbiome.	Rhinopithecus bieti
PRJNA718160	host_mismatch; multihost_issue	paper: Rhinopithecus roxellana vs deposit: Rhinopithecus roxellana; Macaca mulatta			Deposit sample-level metadata explicitly lists 2 distinct host species: Macaca mulatta and Rhinopithecus roxellana. Paper title and abstract focus solely on Rhinopithecus roxellana captivity, with no mention of Macaca mulatta samples.	The deposit metadata reveals explicit samples from two distinct host species (Rhinopithecus roxellana and Macaca mulatta), but the paper describes only Rhinopithecus roxellana, constituting a genuine multihost reporting error.	Captivity Influences the Gut Microbiome of Rhinopithecus roxellana.	Rhinopithecus roxellana
PRJNA671745	host_missing; gut_sample_issue		paper names: Procambarus clarkii (red swamp crayfish); deposit blank/generic	Deposit isolation sources and biome labels include: 'sediment of red swamp crayfish aquaculture pond', 'water of red swamp crayfish aquaculture pond', 'sediment metagenome', and 'aquatic metagenome'. These are non-gut environmental samples.		The deposit metadata is incomplete (host field generic) and reveals a multi-environment study including non-gut samples (sediment, water) that are not emphasized in the paper's gut-focused title and abstract.	Metagenomics Analysis Reveals Compositional and Functional Differences in the Gut Microbiota of Red Swamp Crayfish, Procambarus clarkii, Grown on Two Different Culture Environments.	sediment metagenome
PRJNA728669	gut_sample_issue			Deposit isolation source is 'Chicken manure', not black soldier fly gut.		The study claims to survey bacterial species in BSF larval guts, but the deposit isolation source is documented as chicken manure (the rearing substrate), raising uncertainty about whether samples are actually from BSF gut tissue or from the substrate itself.	A Molecular Survey of Bacterial Species in the Guts of Black Soldier Fly Larvae (Hermetia illucens) Reared on Two Urban Organic Waste Streams in Kenya.	Hermetia illucens
PRJEB41222	host_missing		paper names: broiler chicks; deposit blank/generic			Host missing: deposit lacks host identity metadata while paper clearly describes broiler chick cecal microbiome samples.	The link between broiler flock heterogeneity and cecal microbiome composition.	
PRJEB41306	host_missing		paper names: Blattella germanica (German cockroach); deposit blank/generic			The deposit host field is improperly generic ('insect gut metagenome') instead of recording the species-level host identity (Blattella germanica) that the paper clearly identifies.	Interkingdom Gut Microbiome and Resistome of the Cockroach Blattella germanica.	insect gut metagenome
PRJNA316560	host_mismatch	paper: human (implied by title and abstract fragment 'Large-scale metagenome assemblies of human...') vs deposit: Anser indicus (bar-headed goose)				Host mismatch: paper indicates human metagenome assemblies while deposit specifies Anser indicus (bar-headed goose) as the host.	Large-Scale Metagenome Assembly Reveals Novel Animal-Associated Microbial Genomes, Biosynthetic Gene Clusters, and Other Genetic Diversity.	Anser indicus
PRJEB38000	host_missing		paper names: humans (adults with various lactase persistence genotypes); deposit blank/generic			Host metadata is missing from the ENA deposit—the paper describes human gut microbiome samples but the deposit host field is blank and contains only generic 'metagenome' labels.	Strain-Level Analysis of Bifidobacterium spp. from Gut Microbiomes of Adults with Differing Lactase Persistence Genotypes.	
PRJEB32496	host_mismatch; multihost_issue	paper: swine and cattle vs deposit: Bos (cattle only)			Paper abstract and title explicitly state the study sampled 'swine and cattle' (two distinct host species). Deposit host field lists only 'Bos' (cattle), failing to capture the swine component that is central to the paper's subject matter.	The deposit host metadata is incomplete: it captures only Bos (cattle) when the paper explicitly studies both swine and cattle gut microbiomes, representing a genuine reporting gap in host species documentation.	Antibiotic resistomes discovered in the gut microbiomes of Korean swine and cattle.	Bos
PRJEB31051	host_missing		paper names: Blattella germanica; deposit blank/generic			The deposit lacks specific host species identification (Blattella germanica), recording only the generic 'insect gut metagenome', which constitutes a host_missing metadata gap.	Unraveling Assemblage, Functions and Stability of the Gut Microbiota of Blattella germanica by Antibiotic Treatment.	insect gut metagenome
PRJEB31742	host_missing		paper names: Pig (Sus scrofa); deposit blank/generic			Host species (pig) is missing from the deposit metadata, though clearly documented in the paper.	Characterization of the Pig Gut Microbiome and Antibiotic Resistome in Industrialized Feedlots in China.	
PRJEB21490	host_missing		paper names: mice; deposit blank/generic			Host species 'mice' is named in the paper but the deposit host field is blank/generic, constituting a host_missing metadata gap.	Subchronic low-dose 2,4-D exposure changed plasma acylcarnitine levels and induced gut microbiome perturbations in mice.	metagenomes
PRJNA430956	multihost_issue				Deposit explicitly lists two distinct host species (Papio kindae and Papio anubis) in the host_species_list. Sample titles (CC1, CC2, CH, CS, DE) are too generic to disambiguate which samples belong to which species, but the deposit metadata itself indicates both species are represented.	The deposit contains samples from two distinct baboon species (Papio kindae and Papio anubis), while the paper title refers to 'Baboon' without explicit acknowledgment of the species heterogeneity.	Characterization of Wild and Captive Baboon Gut Microbiota and Their Antibiotic Resistomes.	Papio kindae
PRJNA415003	gut_sample_issue; multihost_issue			Deposit isolation_source field lists 'feces' exclusively, which is a gut-derived sample. Study title mentions 'bat metagenome' but isolation source is explicitly feces (gut content), not gut tissue itself.	Deposit host_species_list explicitly contains 4 distinct bat species: Desmodus rotundus, Macroderma gigas, Rhinolophus ferrumequinum, Rousettus aegyptiacus. Paper abstract focuses on the common vampire bat (Desmodus rotundus) hologenome without explicitly stating this is a multi-host comparative study.	Genuine multihost_issue detected: deposit contains 4 distinct bat species while paper presents study as focused on common vampire bat; gut_sample_issue flagged but scientifically appropriate (feces for microbiome study).	Hologenomic adaptations underlying the evolution of sanguivory in the common vampire bat.	Desmodus rotundus
PRJNA158313	multihost_issue				Sample titles explicitly mention both 'Rhinopithecus bieti' and 'pygmy loris' (Xanthonycticebus pygmaeus); biome labels also list 'Xanthonycticebus pygmaeus'. The deposit's sample-level metadata names at least two distinct primate host species.	Critical mismatch: paper describes Iberian lynx (Lynx pardinus) gut microbiome; deposit lists primate hosts (Rhinopithecus bieti and pygmy loris), which are entirely different organisms. Additionally, the deposit exhibits multihost data not matching the single-host paper.	Gene sets for utilization of primary and secondary nutrition supplies in the distal gut of endangered Iberian lynx.	Rhinopithecus bieti
