study_accession	keep	gut	gut_conf	body_site	host_verdict	host	is_human	method_note	n_wgs_samples	library_source	llm_notes
PRJNA1148165	REVIEW	uncertain	low	gut_explicit	single_clear	Homo sapiens	True	mismatch	0	METAGENOMIC	GUT: uncertain (low) — Title and abstract explicitly state 'gut microbiome in inflammatory bowel disease patients' (human gut study). However, ENA metadata shows WGS/shotgun sample count = 0, no samples listed, no body_site or isolation_source documented. This is a meta-analysis aggregating published data, not a primary WGS study with deposited samples. Cannot confirm this is a genuine primary WGS study rather than a computational re-analysis of existing data. || BODY_SITE: gut_explicit — Paper title and abstract explicitly state 'gut microbiome' as the subject. IBD is a gastrointestinal disease affecting the colon and small intestine. || HOST: Homo sapiens [single_clear] (HUMAN) — Host field = 'Homo sapiens'. Abstract lists human patient cohorts with IBD. Authors affiliated with medical/gastroenterology departments studying human disease. || METHOD: mismatch — Title and abstract describe a meta-analysis (computational synthesis of existing published studies), but ENA library_source is tagged 'METAGENOMIC' suggesting primary metagenomics samples were deposited. However, WGS/shotgun sample count = 0 and no sample metadata (titles, body sites, isolation sources) are present. This appears to be a meta-analysis study with no primary WGS data actually deposited in ENA, or the ENA record is incomplete. || SUMMARY: This is a human gut microbiome study (IBD patients) focused on the correct body site. However, it is a meta-analysis rather than a primary WGS study, and ENA shows zero deposited shotgun samples, creating uncertainty about whether this represents a genuine primary metagenomics data package or a computational study incorrectly flagged in ENA.
PRJDB36826	REVIEW	uncertain	low	ambiguous	single_clear	Homo sapiens	True	unclear	0	METAGENOMIC	GUT: uncertain (low) — Host field states 'Homo sapiens' (human), library_source is 'METAGENOMIC' (indicating community DNA), but critically: WGS/shotgun sample count is 0, no sample titles provided, no biome labels, no body site information. Cannot confirm this is a genuine gut microbiome study with zero samples reported. || BODY_SITE: ambiguous — No body site(s) field populated; no isolation source; no biome label. Host is stated as human but no evidence of sampling location (gut vs. skin vs. oral vs. other). || HOST: Homo sapiens [single_clear] (HUMAN) — Host field explicitly states 'Homo sapiens'; 0 distinct host species in samples, suggesting either a single-host project or data not yet populated. || METHOD: unclear — library_source is 'METAGENOMIC' (consistent with shotgun metagenomics), but WGS/shotgun sample count is 0 and library_strategy_mix is 'nan'. Cannot assess methodological agreement when no samples are reported. || SUMMARY: This project record appears incomplete or empty: the host (human) is declared, but zero WGS samples are registered, no body site is specified, and no sample metadata are available. Without samples or biome information, cannot confirm whether this is a genuine gut microbiome study or remains in curation.
PRJNA1264679	REVIEW	uncertain	low	gut_inferred	single_clear	Sus scrofa (pig)	False	mismatch	0	METAGENOMIC	GUT: uncertain (low) — Paper title and author affiliations strongly suggest a pig gut microbiome study ('Dietary regulation on gut resistome... in pigs' and 'Laboratory of Gastrointestinal Microbiology'). However, the ENA metadata shows 0 WGS/shotgun samples, no host species listed in samples, no body site, isolation source, or sample titles documented. The library_source is marked METAGENOMIC but with no actual samples present in the database record, the study's actual content cannot be verified from the provided metadata. || BODY_SITE: gut_inferred — Paper title explicitly mentions 'gut resistome' and 'microbial amino acid metabolism in pigs', strongly inferring gut sampling. However, ENA metadata fields for body_site and isolation_source are empty, preventing explicit confirmation from database records. || HOST: Sus scrofa (pig) [single_clear] — ENA Host field states 'Sus scrofa'. Paper title explicitly names 'pigs' as the study subject. No evidence of multi-host comparative design in the title or abstract provided. || METHOD: mismatch — Paper title and journal citation (Animal Microbiome, WGS-based study on resistome and metabolic genes) indicate this should be a shotgun metagenomics study. However, ENA metadata shows library_strategy_mix as 'nan' and WGS/shotgun sample count = 0, with no samples listed. The metagenomic library_source tag suggests metagenomics was intended, but no actual samples are present in the submission record. || SUMMARY: This study appears to be a legitimate animal (pig) gut microbiome WGS study based on title, journal, and author affiliations, but the ENA metadata record contains no actual samples, making verification impossible. The mismatch between the described study design and zero samples in the database suggests either incomplete data submission or a metadata/linking error.
PRJNA874500	REVIEW	uncertain	low	ambiguous	single_clear	Gallus gallus	False	unclear	0	METAGENOMIC	GUT: uncertain (low) — Host field states 'Gallus gallus' (chicken) and library_source is 'METAGENOMIC' (community DNA), consistent with a microbiome study. However, WGS/shotgun sample count is 0, body site is unlabeled, isolation source is missing, and no sample titles are provided. Cannot confirm this is a genuine gut study without metadata on sampling location. || BODY_SITE: ambiguous — Body site field is empty; isolation source is not stated. Library source is METAGENOMIC (consistent with microbiome), but no explicit mention of gut vs. other body site. Chicken (Gallus gallus) is commonly sampled for cecal/intestinal microbiota, but this cannot be inferred without explicit evidence. || HOST: Gallus gallus [single_clear] — Host field explicitly states 'Gallus gallus' (domestic chicken). No contradictory host species mentioned in samples (0 distinct species reported). || METHOD: unclear — WGS/shotgun sample count is 0 despite library_source being 'METAGENOMIC'. This mismatch suggests either no samples were actually sequenced, the project is incomplete, or metadata are inconsistent. Cannot assess method agreement without confirmed shotgun sample presence. || SUMMARY: This PRJNA entry lists Gallus gallus as host with metagenomic library source, but critically reports zero WGS samples and lacks body site, isolation source, and sample-level metadata. The project appears incomplete or improperly curated, making it impossible to confirm a genuine animal gut microbiome study was performed.
PRJNA1049198	REVIEW	uncertain	low	ambiguous	single_clear	Gallus gallus	False	unclear	0	METAGENOMIC	GUT: uncertain (low) — Host field states 'Gallus gallus' (chicken), library_strategy_mix is nan, WGS/shotgun sample count is 0, and no body site, isolation source, or sample titles are provided. The metagenomic library_source suggests community DNA, but absence of samples (0 distinct host species) and missing isolation source/body site metadata prevent confirmation that this is an actual gut study. || BODY_SITE: ambiguous — No body site, isolation source, or sample titles provided. Metagenomic library_source is consistent with microbiome work but does not specify gut vs other body sites. || HOST: Gallus gallus [single_clear] — Host field explicitly states 'Gallus gallus' (domestic chicken). However, absence of any samples (0 distinct host species in samples) creates uncertainty about whether this is a real study with actual data. || METHOD: unclear — Library_source is METAGENOMIC (consistent with shotgun metagenomics), but WGS/shotgun sample count is 0 and library_strategy_mix is nan. This contradicts the expectation of a populated WGS study. || SUMMARY: This record declares Gallus gallus as host and metagenomic library source, suggesting a poultry gut microbiome study, but contains zero samples with zero distinct host species represented. The absence of body site metadata, isolation source, sample titles, and any actual shotgun sequences makes it impossible to verify this is a genuine gut microbiome study rather than a metadata-only or incomplete record.
PRJNA544874	REVIEW	uncertain	low	gut_inferred	single_clear	Mus musculus	False	mismatch	0	METAGENOMIC	GUT: uncertain (low) — Paper title and abstract clearly describe a gut microbiome study in mice (Mus musculus) using shotgun metagenomics. However, the ENA record shows 0 WGS samples, 0 distinct host species in samples, and missing critical fields (body_site, isolation_source, sample titles). This is a severe disconnect: the paper is about gut microbiomes, but the ENA submission contains no actual sequence samples or metadata. || BODY_SITE: gut_inferred — Paper title explicitly states 'gut microbiome' and abstract discusses 'gut Microbes' and graft-versus-host disease in the transplant context, which is known to involve fecal microbiota transplants into the gut. However, ENA record has no body_site field populated. || HOST: Mus musculus [single_clear] — Host field explicitly states 'Mus musculus' (laboratory mouse). Title confirms 'wild-type mice'. No other hosts mentioned. Single, unambiguous host. || METHOD: mismatch — Paper describes a shotgun metagenomics (WGS) study of mouse gut microbiota. ENA library_source is correctly marked 'METAGENOMIC'. However, WGS sample count is 0, no sample titles exist, no body site is recorded, and no isolation source is specified. Either no samples were actually submitted to ENA, or the metadata is severely incomplete/corrupted. || SUMMARY: This is a genuine animal gut microbiome study based on the paper's clear focus on mouse gut microbiota and graft-versus-host disease. However, the ENA record is either empty or drastically incomplete, with zero WGS samples reported despite the paper being about shotgun metagenomics. Metadata integrity is severely compromised.
PRJDB34615	REVIEW	uncertain	low	ambiguous	single_clear	Phascolarctos cinereus	False	unclear	0	METAGENOMIC	GUT: uncertain (low) — Host field specifies Phascolarctos cinereus (koala), and library_source is 'METAGENOMIC' (community DNA), which are consistent with a gut microbiome study. However, WGS/shotgun sample count is 0, and no sample titles, body sites, isolation sources, or biome labels are provided. The project exists in the database but critical metadata indicating gut sampling are absent. || BODY_SITE: ambiguous — No body site field is populated. While the host is a terrestrial mammal (koala) for which gut sampling would be plausible, no explicit or inferrable evidence of gut vs. other tissue is present in the metadata. || HOST: Phascolarctos cinereus [single_clear] — Host field explicitly states 'Phascolarctos cinereus' (koala). No indication of multiple hosts or incidental sampling. Host species in samples shows '0 distinct', which may indicate no samples were successfully classified or archived, but the declared host is unambiguous. || METHOD: unclear — Library_source is 'METAGENOMIC', consistent with shotgun metagenomics; however, WGS/shotgun sample count = 0. This mismatch suggests either no samples were sequenced, the project is incomplete, or metadata are corrupt. Cannot confirm method agreement with actual data. || SUMMARY: PRJDB34615 declares a koala (Phascolarctos cinereus) host with metagenomic library source, but zero WGS samples and missing body site, isolation source, and biome metadata prevent confirmation that this is a genuine gut microbiome study. The project appears incomplete or contains data integrity issues.
PRJNA356225	REVIEW	uncertain	low	gut_inferred	single_clear	Homo sapiens	True	mismatch	0	METAGENOMIC	GUT: uncertain (low) — Paper title explicitly states 'gut microbiome' and abstract indicates metagenomic study of Behcet's disease (a human condition), suggesting human gut sampling. However, ENA records show WGS sample count = 0 and no host species in samples listed, raising critical concerns about data availability or study completion. || BODY_SITE: gut_inferred — Title states 'gut microbiome' explicitly. No body_site field populated in ENA record, but the paper title leaves no ambiguity about target body site. || HOST: Homo sapiens [single_clear] (HUMAN) — Host field explicitly lists 'Homo sapiens'. Paper addresses Behcet's disease, a human-specific condition. Single host organism intended for the study. || METHOD: mismatch — Paper title and abstract indicate a metagenomic study with library_source labeled METAGENOMIC, consistent with shotgun metagenomics. However, ENA reports WGS sample count = 0 and '0 distinct' host species in samples, indicating either no samples are actually deposited or records are incomplete. This contradicts the stated metagenomic study design. || SUMMARY: This study describes a human gut microbiome investigation of Behcet's disease patients via metagenomics, making it a valid animal (human) gut study by criteria. However, the ENA record contains zero WGS samples and no sample metadata, suggesting either non-deposition or severe data incompleteness that prevents verification of actual sampling.
PRJDB13194	REVIEW	uncertain	low	gut_explicit	genus_only	fish (unspecified species)	False	unclear	0	METAGENOMIC	GUT: uncertain (low) — Host field states 'fish gut metagenome' (suggestive of gut microbiome), but WGS/shotgun sample count is 0, no sample titles, no isolation source details, and no distinct host species identified. Cannot confirm this is a real study with actual data. || BODY_SITE: gut_explicit — Host field explicitly states 'fish gut metagenome'; however, the complete absence of sample metadata (0 WGS samples, no titles, no isolation sources) raises doubt about whether data actually exists. || HOST: fish (unspecified species) [genus_only] — Host field indicates 'fish gut metagenome' but no distinct host species are provided (0 distinct species listed). The host is identified only at the level of the word 'fish' without taxonomic specification. || METHOD: unclear — library_source is METAGENOMIC (consistent with community DNA metagenomics), but WGS/shotgun sample count is 0, which contradicts the assertion that this is a WGS metagenomics study. No library_strategy_mix values provided. Cannot verify method agreement. || SUMMARY: PRJDB13194 is labeled as a fish gut metagenome study with METAGENOMIC library source, but critical metadata gaps (zero WGS samples, no sample records, no host species specification) make it impossible to confirm this is a genuine completed study. The project may be empty, in preparation, or have metadata loading errors.
PRJNA862908	REVIEW	uncertain	low	gut_explicit	single_clear	Homo sapiens	True	mismatch	0	METAGENOMIC	GUT: uncertain (low) — Paper title and abstract explicitly mention 'gut microbiome' and 'enteric infection' in humans (Homo sapiens). However, the ENA record shows 0 WGS shotgun samples, 0 distinct host species in samples, no body site metadata, no isolation source, and no sample titles. The metadata is essentially empty despite the metagenomics library source designation. Cannot confirm the study actually contains valid gut microbiome WGS data. || BODY_SITE: gut_explicit — Paper title states 'Recovery of the gut microbiome following enteric infection'. The abstract describes a gut microbiome study in humans following infection. Body site field is empty in ENA, but the published paper explicitly and repeatedly references gut samples. || HOST: Homo sapiens [single_clear] (HUMAN) — Host field explicitly states 'Homo sapiens'. Paper title and authorship context (published in Scientific Reports) confirm human subjects. No evidence of multiple host species or incidental sampling. || METHOD: mismatch — Paper title and abstract describe a shotgun metagenomic study of human gut microbiome, but ENA record shows WGS/shotgun sample count = 0, host species in samples (0 distinct), no sample titles, and no body site metadata. Library source is marked METAGENOMIC, which is correct, but critical sample-level data are absent or null, inconsistent with a populated study. || SUMMARY: This study has a clear focus on human gut microbiome recovery post-infection with antimicrobial resistance tracking. However, the ENA record is severely incomplete or unpopulated—showing zero WGS samples despite the metagenomics library designation. The publication exists and describes gut work, but the data submission appears either incomplete or corrupt in this metadata snapshot.
PRJNA433811	REVIEW	uncertain	low	ambiguous	single_clear	Salmo salar	False	unclear	0	METAGENOMIC	GUT: uncertain (low) — Host field states 'Salmo salar' (Atlantic salmon, a fish), library_source is METAGENOMIC (consistent with microbiome), but WGS/shotgun sample count is 0 and all other descriptive fields (abstract, body site, isolation source, sample titles, biome labels) are missing or empty (nan). No concrete evidence that samples exist or that they are from gut. || BODY_SITE: ambiguous — Body site field is empty. No isolation source, sample titles, or abstract text provided. Host is salmon but no confirmation that source is gut vs. other tissue. || HOST: Salmo salar [single_clear] — Host field explicitly states 'Salmo salar' (Atlantic salmon). No evidence of multi-host sampling, incidental inclusion, or other hosts mentioned. However, 0 samples reported with species data, raising doubt about whether study is real. || METHOD: unclear — WGS/shotgun sample count is 0 despite library_source = METAGENOMIC. This contradiction suggests either no samples were deposited, metadata is incomplete, or the project record is a placeholder with incomplete data entry. || SUMMARY: PRJNA433811 declares Salmo salar as host with metagenomic library source, but reports zero WGS samples and lacks essential metadata (abstract, body site, isolation source, sample titles). Cannot confirm this is a genuine animal gut microbiome study without sample-level evidence.
PRJDB38615	REVIEW	uncertain	low	ambiguous	unclear	unknown	False	unclear	0	METAGENOMIC	GUT: uncertain (low) — library_source is METAGENOMIC (indicating community DNA analysis, consistent with microbiome work), but WGS sample count is 0, no abstract, no title, no host species identified, no body site specified, and no isolation source documented. Cannot confirm this is a real study or that it involves animal gut material. || BODY_SITE: ambiguous — No body site field provided; no isolation source; no biome labels; no sample titles. library_source 'METAGENOMIC' is consistent with microbiome sampling (including gut) but does not specify anatomical site. || HOST: unknown [unclear] — Host field is missing; 0 distinct host species in samples; no sample metadata provided. Cannot identify whether this study involved a single animal, multiple animals, or any animal at all. || METHOD: unclear — WGS sample count is 0, contradicting the expectation of shotgun metagenomics data for a WGS study. library_source 'METAGENOMIC' supports community DNA sequencing, but absence of actual samples prevents method agreement assessment. || SUMMARY: Study PRJDB38615 lacks sufficient metadata to audit. No samples present (WGS count = 0), no host identified, no abstract or title, and no body site documentation. This appears to be an empty or incomplete project record in the database.
PRJNA888429	REVIEW	uncertain	low	ambiguous	single_clear	Sus scrofa	False	unclear	0	METAGENOMIC	GUT: uncertain (low) — Host field states 'Sus scrofa' (pig), library_source is 'METAGENOMIC' (community DNA), but WGS sample count is 0 and no sample titles, isolation sources, or body sites are provided. Cannot confirm this is a genuine gut microbiome study without evidence of actual samples or metadata. || BODY_SITE: ambiguous — No body site, biome label, or isolation source metadata provided. Host is Sus scrofa (pig), which could suggest gut, but absence of explicit gut designation prevents confirmation. || HOST: Sus scrofa [single_clear] — Host field explicitly states 'Sus scrofa' (domestic pig). No conflicting host species or multi-host evidence. || METHOD: unclear — Library_strategy_mix is 'nan' and WGS sample count is 0. Although library_source is marked 'METAGENOMIC', the absence of actual shotgun samples in the study prevents verification that methods align with ENA WGS field designations. || SUMMARY: This study record is severely under-populated: no samples, no titles, no body site metadata despite declaring Sus scrofa as host and metagenomic library source. The host is unambiguous (pig), but confirmation that this is a real animal gut microbiome study is impossible without sample-level evidence.
PRJNA906124	KEEP	yes	high	gut_inferred	single_clear	Felis catus	False	unclear	0	METAGENOMIC	GUT: yes (high) — Paper title states 'feline fecal microbiome' and abstract confirms study of dietary effects on cat gut microbiota. Fecal samples are a standard proxy for gut microbiome composition in animal studies. || BODY_SITE: gut_inferred — Title explicitly mentions 'fecal microbiome'; fecal samples directly represent gut microbial communities. No alternative body sites mentioned. || HOST: Felis catus [single_clear] — Host field states 'Felis catus' (domestic cat). Title and abstract consistently refer to 'feline' study with no indication of multi-host comparison or incidental sampling. || METHOD: unclear — ENA record shows WGS/shotgun sample count = 0 and no sample titles, isolation sources, or body site metadata provided, despite library_source being marked 'METAGENOMIC'. Cannot verify whether WGS was actually performed or if this is a metadata curation gap. Title and abstract strongly suggest a metagenomic study was conducted, but ENA fields do not confirm presence of sequencing data. || SUMMARY: This is a legitimate animal (feline) gut microbiome study based on title and abstract describing dietary manipulation of fecal microbiota composition. However, the ENA record contains critical metadata gaps: zero WGS samples are listed despite the metagenomic library source designation, suggesting either incomplete data submission or a database curation error.
PRJNA831632	REVIEW	uncertain	low	ambiguous	single_clear	Hoolock tianxing	False	unclear	0	METAGENOMIC	GUT: uncertain (low) — Host field lists 'Hoolock tianxing' (a gibbon species), library_source is 'METAGENOMIC' (indicating community DNA), but critical metadata are absent: no paper title/abstract, no body site specification, no isolation source, no sample titles, and WGS/shotgun sample count is 0. Cannot confirm this is a gut study without explicit body site documentation. || BODY_SITE: ambiguous — No body site(s) field provided. No isolation source stated. No sample titles available. The absence of all anatomical descriptors prevents classification as gut_explicit or gut_inferred. || HOST: Hoolock tianxing [single_clear] — Host field explicitly states 'Hoolock tianxing' (western black-crested gibbon, a non-human primate). Host species in samples shows 0 distinct entries, but the structured host field is unambiguous. Single host designation is clear from the metadata, though sample-level confirmation is absent. || METHOD: unclear — library_source 'METAGENOMIC' is consistent with shotgun metagenomics, but WGS/shotgun sample count is 0 and library_strategy_mix is nan, suggesting either no samples in the project or incomplete metadata. Cannot assess method agreement when sample counts are zero. || SUMMARY: PRJNA831632 is flagged as uncertain for true_animal_gut status due to missing critical metadata (body site, isolation source, sample titles) and zero reported WGS samples, despite a clear non-human animal host (gibbon) and metagenomic library source. This appears to be a stub or incomplete project record.
PRJNA1226362	REVIEW	uncertain	low	gut_explicit	multi_host	Mus musculus (SPF mice BALB/c)	False	mismatch	0	METAGENOMIC	GUT: uncertain (low) — Paper title and abstract clearly state 'gut microbiota' in SPF mice, indicating an animal gut microbiome study. However, critical metadata fields are missing or empty: WGS/shotgun sample count is 0, host species in samples shows '(none)', sample titles are absent, and body site/isolation source fields are empty. This suggests either incomplete metadata submission or that actual sequencing data may not be present in this accession. || BODY_SITE: gut_explicit — Paper title explicitly states 'gut microbiota': 'Comparative metagenomic characterization of gut microbiota and antibiotic resistome in multi-facility SPF mice.' Abstract confirms 'comprehensive high-resolution profiling of their gut microbiome.' || HOST: Mus musculus (SPF mice BALB/c) [multi_host] — Host field explicitly states 'SPF mice BALB/c' (Balb/c is a specific inbred mouse strain). Paper title refers to 'multi-facility SPF mice,' indicating a comparative study across multiple facilities/cohorts of mice, making this a multi-host comparative design rather than a single individual. || METHOD: mismatch — Paper abstract and title describe a metagenomic shotgun (WGS) study of gut microbiota ('Comparative metagenomic characterization'), but the ENA submission shows WGS/shotgun sample count = 0 and library_source is METAGENOMIC yet no samples are listed. This is a critical mismatch: either the data have not been deposited, metadata is severely incomplete, or the accession number does not correspond to actual sequencing data. || SUMMARY: This is described as a genuine animal (mouse) gut metagenomics study with a comparative multi-facility design. However, the ENA record appears to lack deposited samples entirely (sample count 0, no host species detected, empty critical fields), suggesting either a metadata submission error or incomplete data deposition despite the clear paper publication.
PRJEB11519	REVIEW	uncertain	low	gut_explicit	single_clear	pig (Sus scrofa)	False	unclear	0	METAGENOMIC	GUT: uncertain (low) — Host field states 'pig gut metagenome' (suggesting gut origin), library_source is METAGENOMIC (consistent with community DNA), but critically: WGS/shotgun sample count is 0, no sample titles provided, no distinct host species identified in samples, and no paper title/abstract available to verify study intent. The metadata structure suggests a catalog entry exists but actual sequencing data presence is unconfirmed. || BODY_SITE: gut_explicit — Host field explicitly states 'pig gut metagenome', indicating gut origin. However, no body site field, isolation source, or biome labels are populated to corroborate this, and absence of samples raises questions about data completeness. || HOST: pig (Sus scrofa) [single_clear] — Host field unambiguously states 'pig gut metagenome'. No evidence of multi-host survey or incidental sampling. However, 0 distinct host species recorded in samples and 0 WGS samples raise concerns about whether this represents a completed study. || METHOD: unclear — library_source=METAGENOMIC is consistent with shotgun metagenomics expectation, but library_strategy_mix is NaN (missing), and critically WGS/shotgun sample count is 0. This conflicts with the premise that WGS data should be present. Cannot assess method agreement without sample-level data. || SUMMARY: PRJEB11519 appears catalogued as a pig gut metagenome study based on the host field, but the absence of samples (0 WGS count, 0 distinct host species, no sample titles) and missing metadata (no paper title, abstract, biome labels) suggest either a metadata-only stub entry or an incomplete/withdrawn project. Verdict is uncertain pending clarification of actual data presence.
PRJNA1102860	REVIEW	yes	high	gut_explicit	single_clear	Equus caballus (feral horse)	False	mismatch	0	METAGENOMIC	GUT: yes (high) — Paper title explicitly states 'gut microbiome', abstract confirms 'gut microbiomes' study with 'fecal samples from 794 individuals', and library_source is METAGENOMIC (community DNA). This is a genuine animal gut microbiome study. || BODY_SITE: gut_explicit — Title: 'gut microbiome'; Abstract: 'gut microbiomes' and '2394 fecal samples' explicitly stated as sampling source. || HOST: Equus caballus (feral horse) [single_clear] — Host field: 'Equus caballus'; paper title: 'feral horses'; abstract: 'feral population of horses' from Sable Island, Canada. Single host species, clearly identified, n=794 individuals studied. || METHOD: mismatch — Abstract states 'shallow shotgun metagenomic sequencing data' with '2394 fecal samples', but ENA metadata shows 'WGS/shotgun sample count: 0' and 'Host species in samples (0 distinct)'. The catalog appears to lack actual sequencing data or sample metadata linkage despite the paper describing substantial metagenomic datasets. || SUMMARY: This is a legitimate animal (horse) gut microbiome study with fecal sampling and shotgun sequencing design. However, the ENA record appears incomplete or mismatched—it lacks enumerated samples and WGS counts despite the paper describing 2,394 fecal samples processed via metagenomics.
PRJNA422434	REVIEW	uncertain	low	gut_inferred	unclear	human (inferred)	True	mismatch	0	METAGENOMIC	GUT: uncertain (low) — Paper title explicitly states 'gut mycobiome' and abstract describes a diabetes microbiome study, but NO sample metadata is provided (0 WGS shotgun samples reported, no isolation sources, no body sites, no host species listed). Cannot verify actual gut samples exist in PRJNA422434 without seeing sample records. || BODY_SITE: gut_inferred — Title explicitly states 'gut mycobiome' and abstract is about diabetes gut microbiota changes with metformin. However, no body site metadata fields are populated in the submission record provided. || HOST: human (inferred) [unclear] (HUMAN) — Paper addresses 'Type 2 diabetes' and 'metformin treatment across populations'—clinical context strongly suggests human subjects. However, NO host species field is populated in the catalog record, and NO sample titles or isolation sources are provided to confirm. || METHOD: mismatch — Paper title and abstract describe a shotgun metagenomics study of the mycobiome, library_source is correctly marked METAGENOMIC, but WGS shotgun sample count is reported as 0, and no sample-level data is visible in the provided metadata. This is inconsistent with a submitted sequencing study. || SUMMARY: The study appears to be a legitimate human gut mycobiome investigation of metformin effects in Type 2 diabetes, but the audit record is severely incomplete—no samples, no host species, no body sites, and zero WGS counts. Either the submission was not finalized, samples were never sequenced, or metadata is missing from the catalog.
PRJNA848403	REVIEW	uncertain	low	gut_explicit	single_clear	seagull (Laridae)	False	mismatch	0	METAGENOMIC	GUT: uncertain (low) — Title and abstract explicitly state 'gut microbiome for migratory seagulls' (STATED). However, the ENA record shows WGS/shotgun sample count = 0, no distinct host species in samples, no body site metadata, no isolation source, and no sample titles. This is a critical contradiction: a published metagenomics study should have samples in the ENA record. Either the study data were not deposited, or this PRJNA record does not contain the actual sequenced samples. || BODY_SITE: gut_explicit — Paper title explicitly states 'gut microbiome': 'Metagenomics of gut microbiome for migratory seagulls in Kunming city...' || HOST: seagull (Laridae) [single_clear] — Host field and paper title both STATED as 'seagull' / 'migratory seagulls'. Non-human bird species. No evidence of multi-host survey or incidental sampling—the study is presented as being OF seagulls' guts. || METHOD: mismatch — Paper title and abstract describe a metagenomics (WGS) study. Library_source is METAGENOMIC (correct for shotgun metagenomics). However, WGS/shotgun sample count = 0, suggesting either no samples were successfully deposited to ENA under this PRJNA, or the record is incomplete/placeholder. This is a significant mismatch between the published study design and the ENA record. || SUMMARY: The paper is a genuine seagull gut microbiome study (STATED in title and abstract), but the ENA record contains zero shotgun samples, no host species entries, and no sample metadata. This suggests a data deposition failure, incomplete record, or that the PRJNA is mismatched with the actual study samples.
PRJNA1193782	REVIEW	uncertain	low	ambiguous	single_clear	Sus scrofa	False	mismatch	0	METAGENOMIC	GUT: uncertain (low) — Host field lists 'Sus scrofa' (pig) and library_source is 'METAGENOMIC', suggesting a metagenomic study. However, no paper title, abstract, body site, isolation source, or sample titles are provided. WGS/shotgun sample count is 0, which is contradictory to the METAGENOMIC designation. Without any explicit confirmation of gut sampling or study design, gut status cannot be verified. || BODY_SITE: ambiguous — Body site field is empty (none). Gut sampling is not explicitly stated anywhere in the evidence. While Sus scrofa is a typical host for gut microbiome studies, the absence of any isolation source, sample titles, or body site labels prevents confirmation that these are gut samples rather than other body sites. || HOST: Sus scrofa [single_clear] — Host field explicitly states 'Sus scrofa' (domestic pig). No conflicting host information or multi-host indicators are present in the evidence. || METHOD: mismatch — library_source is marked 'METAGENOMIC' (indicating community/metagenomics approach), but WGS/shotgun sample count is 0. This is internally contradictory: a metagenomic study should have shotgun WGS samples. The disconnect between declared metagenomic strategy and zero WGS samples suggests either incomplete metadata or data curation error. || SUMMARY: This record is severely underdocumented. While Sus scrofa is designated as the host and METAGENOMIC is the declared strategy, the absence of sample data (0 WGS samples), missing body site, isolation source, titles, and publication metadata prevents meaningful validation. The true_animal_gut verdict must remain uncertain pending clarification of whether samples actually exist and were genuinely from gut material.
PRJNA1320939	KEEP	yes	high	gut_explicit	single_clear	Sus scrofa (domestic pig/sow)	False	unclear	0	METAGENOMIC	GUT: yes (high) — Title and abstract explicitly state 'gut microbiome' and 'Shotgun metagenomes were obtained from 25 lactating sows' with analysis of microbial communities from gut samples via metagenomic sequencing. || BODY_SITE: gut_explicit — Abstract explicitly references 'gut microbiome', 'enterosignatures' (intestinal microbial signatures), and 'gut microbiome reorganization'. Title states 'gut microbiome'. || HOST: Sus scrofa (domestic pig/sow) [single_clear] — Title and abstract clearly identify host as 'lactating sows' (n=25), belonging to two genetic lines (TOL and SEN) divergently selected for heat tolerance. All samples are from the same host species. || METHOD: unclear — Abstract confirms 'Shotgun metagenomes' (WGS) as method and library_source is labeled 'METAGENOMIC', supporting metagenomic approach. However, WGS sample count field shows '0' despite abstract clearly stating 25 samples from sows, indicating a data curation gap in the ENA metadata fields provided (Host field, body site, isolation source all marked absent despite evidence in paper). This is a metadata incompleteness issue rather than methodological mismatch. || SUMMARY: This is a genuine, single-host animal gut microbiome study using shotgun metagenomics on 25 lactating sows exposed to heat stress. The ENA metadata fields appear incompletely populated despite clear evidence in the published abstract.
PRJEB14847	REVIEW	uncertain	low	ambiguous	unclear	unknown	False	unclear	0	METAGENOMIC	GUT: uncertain (low) — No paper title, abstract, host field, sample titles, body site, or isolation source metadata provided. Library source is METAGENOMIC (consistent with community DNA), but WGS sample count is 0, indicating either no shotgun samples in this project or missing sample-level data. Cannot confirm this is a gut microbiome study without minimal descriptive metadata. || BODY_SITE: ambiguous — Body site(s) field is empty. No isolation source, sample titles, or biome labels provided to infer gut vs non-gut origin. || HOST: unknown [unclear] — Host field is empty. No host species in samples recorded (0 distinct). No sample titles or other metadata to identify the animal. || METHOD: unclear — Library source lists METAGENOMIC (consistent with WGS), but WGS sample count is 0. Cannot verify method agreement when sample-level strategy data (library_strategy_mix) and counts are absent or null. || SUMMARY: PRJEB14847 lacks sufficient metadata to audit. No title, abstract, host identity, body site, or sample descriptions are provided, and the WGS sample count is reported as zero. This project cannot be meaningfully assessed without basic descriptive fields.
